行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
巴蜀府,住宿酒店,Dusit Thani Hua Hin,华欣都喜天丽度假村,泰国本土品牌度假村,距离华欣市区20-30分钟车程,51,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合度假/亲子,"老牌度假酒店、泳池大、餐饮出色、适合""白人式度假""","亲子旅行✈️华欣Avani+ Hua Hin Resort房间
亲子旅行✈️在泰国皇室后花园白人式度假","https://www.xiaohongshu.com/explore/691fda59000000001e02dc6d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68b50f34000000001b023f33?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Hyatt Regency Hua Hin,华欣凯悦度假村,五星级度假村,离Cicada夜市很近,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合情侣/家庭,占地大、泳池曲曲折折是亮点、早餐丰盛,🇹🇭华欣凯悦Hyatt regency Hua Hin,https://www.xiaohongshu.com/explore/66727587000000001c029c0a?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Let's Sea Hua Hin,莱茨海华欣酒店,设计感酒店,筷子山片区,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合情侣/追求静谧,只有30多间房、多泳池设计、步行1分钟到沙滩,泰国华欣Verso｜颜值在线，这些细节要注意,https://www.xiaohongshu.com/explore/69d36be6000000001a035cb3?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Sheraton Hua Hin Resort & Spa,华欣喜来登水疗度假酒店,六善底子喜来登运营,位置偏远,51,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合家庭/奢华度假,两卧室泳池别墅、服务超五星标准、餐饮不错,"世界第一家六善
泰国华欣 喜来登水疗度假酒店","https://www.xiaohongshu.com/explore/6a1aa305000000003601f2b2?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6974970000000006013420?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Siriam Guest House,西里阿姆宾馆,经济型宾馆,希尔顿附近/步行到夜市几分钟,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合预算有限,人均不到100元一晚、位置近夜市,从曼谷花9元坐6个多小时火车去趟华欣值吗？,https://www.xiaohongshu.com/explore/6445161c00000000120336e3?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Subhamitra Hotel Hua Hin,素帕米特拉酒店,经济型酒店,离火车站近,51,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合预算有限/安静,比较便宜、离火车站近、安静,"嘿嘿！来泰兰德半个月做了八次马杀鸡
华欣七岩｜适合“消失式度假”的酒店
泰国华欣攻略","https://www.xiaohongshu.com/explore/66321a7b000000001e019a44?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/699e97f6000000002203833b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8ff731000000001f01f5e6?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,The Regent Cha am Beach Resort,丽晶七岩海滩度假村,海滨度假村,靠近七岩海滩,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合情侣/家庭,性价比高、出门觅食方便、酒店嘟嘟车可接送,华欣DNA动了！这家海边泰餐小馆我可以追着吃,https://www.xiaohongshu.com/explore/6a6df9d70000000033037dc8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Verso Hotel,韦尔索酒店,蓝白ins风酒店,筷子山片区,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合拍照/安静度假,颜值在线、成人无边泳池+儿童浅水区、部分房型带阳台浴缸,泰国华欣Verso｜颜值在线，这些细节要注意,https://www.xiaohongshu.com/explore/69d36be6000000001a035cb3?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,北碧府纳提河滨酒店,Natee The Riverfront Hotel Kanchanaburi,河景酒店,桂河大桥附近,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求便利游客,步行可达酒吧/美食/711、房间带大浴缸,北碧府酒店3家 人均200,https://www.xiaohongshu.com/explore/66e3080500000000250339f8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,Binlha Raft Resort,Binlha Raft Resort Kanchanaburi,水屋民宿,桂河上,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,体验型游客,水上漂浮屋、早餐棒但设施一般,北碧府酒店3家 人均200,https://www.xiaohongshu.com/explore/66e3080500000000250339f8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,Contemporary Villas Floating on River Kwai,Contemporary Villas Floating on River Kwai,高端水上别墅,桂河上,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,高端度假游客,需乘船前往、泰式风格带私人码头和秋千,曼谷出发🚗2.5h 打卡这座小众宝藏小城,https://www.xiaohongshu.com/explore/65aa6faa000000002d030535?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,Cross River Kwai X2,Cross River Kwai X2 Kanchanaburi,高端漂浮酒店,桂河中段,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求品质游客,私人码头可划kayak、顶楼观景台、按摩手法顶级,泰国旅游攻略 之 北碧府住宿,https://www.xiaohongshu.com/explore/63b5a991000000001c0379fe?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,Good Times Resort,Good Times Resort Kanchanaburi,市区酒店,桂河大桥附近,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,临时入住游客,位置便利、可步行到夜市,北碧府2天1夜佛系3人自由行（交通篇）,https://www.xiaohongshu.com/explore/6690000f0000000025004480?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,Kanchanaburi City Hotel,Kanchanaburi City Hotel,市区酒店,汽车站旁,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,背包客/中转游客,地理位置好、周边有市场/711/按摩/餐厅,北碧府tips,https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,No.9 Hostel Kanchanaburi,No.9 Hostel Kanchanaburi,青旅,市区,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,背包客,便宜干净、位置便利、混合宿舍六人间,🇹🇭北碧府四天三夜背包旅行攻略—P1,https://www.xiaohongshu.com/explore/67e40184000000001d018e56?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,River Kwai Jungle Rafts Floating Hotel,River Kwai Jungle Rafts Floating Hotel,原生态水屋,桂河上游,27,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,猎奇体验型游客,无电无热水无Wi-Fi、煤油灯照明、早上可喂大象、可漂流,"泰国值得去之北碧府（1）
恐怖体验：泰国朋友直呼下次不来了
泰国亲子游｜坐船入住北碧府超Chill的民宿","https://www.xiaohongshu.com/explore/65a228d2000000001a02a44c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66161888000000001a00f72d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67a20c48000000001800d914?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,River Kwai Resotel,River Kwai Resotel Kanchanaburi,连锁度假村,桂河上游,27,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/自驾游客,河边设施齐全、空气清新但离市区远,"北碧府酒店3家 人均200
泰国亲子游｜坐船入住北碧府超Chill的民宿","https://www.xiaohongshu.com/explore/66e3080500000000250339f8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67a20c48000000001800d914?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,River Life Resort,River Life Resort Kanchanaburi,河滨度假村,桂河沿岸,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,情侣/周末度假,氛围感强、含双早、可划竹筏看野象,🇹🇭北碧府避世河滨悠闲周末住宿篇,https://www.xiaohongshu.com/explore/66a1ab3300000000270126b1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,V1 Boutique Hotel Kanchanaburi,V1 Boutique Hotel Kanchanaburi,精品酒店,汽车站旁,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,赶早班车游客,干净卫生、步行100米到汽车站但房间小价格偏高,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,蓝坦海滩民宿,แหลมแท่นโฮมบีช รีสอร์ท,海湾民宿,"Ao Bo Mao Bay,距市中心33km",41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子/自驾游客,"海湾浅浪小适合游泳,景色价格综合最优(1200泰铢/晚含早)",泰国春蓬自驾〡小众海边高性价比民宿,https://www.xiaohongshu.com/explore/6a915691000000002503d06b?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,秘境度假村,Clean Wave Resort Chumphon,海边秘境度假村,"Saphli, Pathio District",41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求宁静游客,"非商业化,原始纯朴环境,老板娘热情,走几步到沙滩",春蓬秘境渡假村｜住进海边的森林小屋，享,https://www.xiaohongshu.com/explore/67b2d11b000000001800bc88?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,娜娜海滩度假村,Nana Beach Resort,海滩度假村,"离码头40分钟车程,离市中心20分钟",41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,长住游客/老人,"价格适中,有长住优惠,交通不太方便",春蓬🌴🌊,https://www.xiaohongshu.com/explore/67d94b50000000001b03e2e6?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,诺沃春蓬海滩度假村,The Nouveau Chumphon Beach Resort & Golf,海滩度假村,山顶360度海景,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假游客,"前身诺富特,硬件设施好,山顶view可驱车直达",🌴 优惠速递！今年7月，来泰国春蓬府 (Chumphon) 享受超值度假吧 ☀,https://www.xiaohongshu.com/explore/6a3288ff000000000e031400?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,莎莎旅馆,Salsa Hostel,青旅/旅馆,市区,41,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,穷游背包客,"装修老旧但干净整洁,约60元/晚","穷游第16天泰国春蓬
🇹🇭小众旅行地➡️春蓬，榴莲爱好者速来","https://www.xiaohongshu.com/explore/66b7641c00000000090150d9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/683b202d000000002102cc1b?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,树屋酒店,Baan Ouadchum Treehouse,树屋民宿,"海边,距市中心41km",41,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,情侣/拍照打卡,"树屋结构临海,顶楼视野最佳,兼具餐厅功能","春蓬自驾〡海边树屋登高远眺海湾，好吃好看
泰国春蓬自驾〡小众海边高性价比民宿","https://www.xiaohongshu.com/explore/6a9195e7000000002003cabc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a915691000000002503d06b?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,雨林别墅,Villa Varich,雨林度假村,"邦马克村,丛林河畔",41,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,自然爱好者/自驾游客,"独栋木屋被雨林包围,提供免费皮划艇和自行车,氛围chill","泰国南部自驾之旅2.12-21第九章 春蓬雨林
泰国小众地春蓬🇹🇭千字旅游攻略真心大放送","https://www.xiaohongshu.com/explore/69c25618000000001a02b0ab?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65df30730000000003036527?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,住宿酒店,Cleanwave Resort,Cleanwave Resort Chumphon,度假村,通瓦兰沙滩旁,41,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/情侣,"出门即沙滩,联排房屋设计,性价比高(2000泰铢/晚)","🇹🇭春蓬｜三天三夜吃喝住行全攻略
春蓬秘境渡假村｜住进海边的森林小屋，享","https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67b2d11b000000001800bc88?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Plus hostel ayutthaya,Plus hostel ayutthaya,青年旅舍,中心城区北面,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,背包客,"家庭小院式青旅,包早餐晚餐,可社交",泰国青旅小记（3）大城ayutthaya,https://www.xiaohongshu.com/explore/68726168000000002201f04e?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,班塔伊王,Baan Tye Wang,民宿,历史公园附近,72,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,避世/拍照,"安静出片,传统泰式建筑,老年夫妻打理","在大城选一处避世
大城府两日游，民宿推荐
泰国大城府｜被低估的度假胜地","https://www.xiaohongshu.com/explore/68dd5a510000000003010b0a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68d16947000000000e021ae7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68b0742d000000001d01fbff?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,罗望子民宿,Tamarind Guesthouse,民宿,玛哈泰寺对面,72,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,预算有限,"百元价格,近玛哈泰寺和夜市,老板热情","大城府住宿推荐，罗望子民宿
泰国🇹🇭大城府民宿推荐-罗望子宾馆","https://www.xiaohongshu.com/explore/6a463cd300000000060350ba?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f7262a000000003502687f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Ayutthaya Retreat,Ayutthaya Retreat,度假村,Ban Pom,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,下午茶/拍照,"泰式古典木屋+庭院,水上用餐体验",大城府-泰式传统菜，可以去尝尝哦,https://www.xiaohongshu.com/explore/6a622c8f0000000010028e58?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Baan Sawhangsilp,บ้านสว่างศิลป์@อยุธยา,民宿,玛哈泰寺和火车站中间,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,方便出行,"位置居中,近minibus,房间干净",大城府两日游，民宿推荐,https://www.xiaohongshu.com/explore/68d16947000000000e021ae7?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Bigcountry Villa,Bigcountry Villa,民宿,古城内,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/团体,"泰式别墅风格,房间大,挑高高",大城府,https://www.xiaohongshu.com/explore/6a75ec1b000000000801088f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Kunst Ayuttaya,Kunst Ayuttaya,酒店,红砖咖啡馆楼上,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,设计爱好者,"红砖设计师酒店,4间客房精致",Kunst Ayuttaya｜住在大城府红砖咖啡馆楼上,https://www.xiaohongshu.com/explore/693a668d000000001e00cddf?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Ruen Tubtim Resort,Ruen Tubtim Hotel 24/2 Koh Loy,民宿,Koh Loy岛,72,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,情侣/避世,"泰式传统木屋,需坐船进出,安静河畔体验","🇹🇭 大城| 人均一百多住进传统泰式木屋
大城府 我住到了泰式传统木屋","https://www.xiaohongshu.com/explore/6966129d000000000c0373e6?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8545e90000000029032a1f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Sala Ayutthaya,Sala Ayutthaya,酒店,临河,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,高端/亲子,"河景寺庙景观,早餐丰富,拍照出片",📍自信点，大城府酒店推荐， 没有之一,https://www.xiaohongshu.com/explore/691c93260000000019025f16?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,住宿酒店,Tony's Place Ayutthaya,Tony's Place Ayutthaya,民宿,古城内,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,预算有限,"兰纳风格木屋,百元价格,独立卫浴",泰国大城府百元民宿,https://www.xiaohongshu.com/explore/6a7ea7f600000000240265eb?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,7seas,7seas,酒店,东岸沙滩,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,想住宽敞房间的游客,"房间宽大,岛上只有6-7家酒店",董里克雷登岛简明攻略,https://www.xiaohongshu.com/explore/67ad63ce000000001902e476?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Chang Residence Trang,Chang Residence Trang,酒店,市区,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,性价比优先的中国游客,"3人1晚1000泰铢,人均300泰铢",🇹🇭4天3夜 董里宋卡合艾 Part 1️⃣💛,https://www.xiaohongshu.com/explore/6a4fa458000000000e021800?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
