行政区,POI业务类型,POI名称,POI泰文名称,POI细分类型,地理位置描述,名称直接命中帖子数（非热度）,证据样例标题,证据样例URL,重要口径
清莱府,康养SPA,Grand Spa,Grand Spa,SPA,夜市旁,1,泰国第三天：到了清莱,https://www.xiaohongshu.com/explore/6a3895950000000015024504?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
清莱府,康养SPA,The Lanna Xxx,The Lanna Healing Package,按摩店,夜市附近Kha Ya Massage旁,1,泰国清莱旅游 泰式按摩,https://www.xiaohongshu.com/explore/62b6b829000000000102c058?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
清莱府,康养SPA,Parvati Spa,Parvati Spa,SPA与水疗,清莱艾美度假酒店内,2,"清莱疗愈SPA｜清莱艾美度假酒店水疗中心💆
用一次正宗的泰式按摩，真正的放松身心","https://www.xiaohongshu.com/explore/66306823000000001e038bd5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6964b215000000000a02b2ba?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
沙敦府,康养SPA,Irene Spa,Irene Spa,SPA,丽贝岛田园酒店,1,10.25丽贝岛玻璃海～📍日出海滩 餐饮&Spa,https://www.xiaohongshu.com/explore/671ccb26000000001600f616?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
沙敦府,康养SPA,Soi Buri Massage,Soi Buri Massage,按摩店,丽贝岛步行街转角处大树下,1,丽贝岛按摩千万要避雷【小武里】！,https://www.xiaohongshu.com/explore/66d361d1000000001f03c27c?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
沙敦府,康养SPA,Sui Buri Massage,Sui Buri Massage,按摩店,丽贝岛小711往walking street右边斜坡,1,丽贝岛按摩千万要避雷【小武里】！,https://www.xiaohongshu.com/explore/66d361d1000000001f03c27c?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
夜丰颂府,康养SPA,拜县传统泰式按摩店,,泰式按摩,拜县,1,清迈Day15｜离开拜县早上打泰拳按摩店推荐,https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
夜丰颂府,康养SPA,Anong Thai Massage,Anong Thai Massage,泰式按摩,拜县,2,"超详细⚠️一个人拜县旅游完全攻略(上)
清迈Day15｜离开拜县早上打泰拳按摩店推荐","https://www.xiaohongshu.com/explore/64a7c6850000000023035fca?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
夜丰颂府,康养SPA,Mamalon Massage,Mamalon Massage,泰式按摩,拜县,2,"🇹🇭拜县马杀鸡踩雷店｜别去这家
清迈Day15｜离开拜县早上打泰拳按摩店推荐","https://www.xiaohongshu.com/explore/63f45a250000000027011ab9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
夜丰颂府,康养SPA,Prawniee Paicity2 Massage,Prawniee Paicity2 Massage,泰式按摩,拜县,1,清迈Day15｜离开拜县早上打泰拳按摩店推荐,https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
夜丰颂府,康养SPA,Sapaiya Spa,Sapaiya Spa,SPA与水疗,拜县,1,超详细⚠️一个人拜县旅游完全攻略(上),https://www.xiaohongshu.com/explore/64a7c6850000000023035fca?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
春蓬府,康养SPA,วันสุข นวดเพื่อสุขภาพ สาขา1,วันสุข นวดเพื่อสุขภาพ สาขา1,按摩店,市区,1,🇹🇭春蓬｜三天三夜吃喝住行全攻略,https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,康养SPA,Fahsai Massage,Fahsai Massage,社区按摩,主街711往码头方向右手边,2,"🇹🇭沙美岛马杀鸡推荐
最舒服的按摩店居然在沙美岛？！","https://www.xiaohongshu.com/explore/6797bb65000000002901b9cf?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66e7a7260000000025030c13?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,康养SPA,Nava Health Spa,Nava Health Spa,高端SPA,需打车,1,罗勇府马杀鸡店推荐,https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,康养SPA,Sirion Massage,Sirion Massage,泰式草药,主街,1,🇹🇭沙美岛马杀鸡推荐,https://www.xiaohongshu.com/explore/6797bb65000000002901b9cf?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,康养SPA,ระยอง เฮลท์ตี้ นวดเพื่อสุขภาพ,Rayong Healthy Massage,健康按摩,假日酒店马路对面,1,罗勇府马杀鸡店推荐,https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,康养SPA,เรือนไทยระยอง 2495 Thai House Massage 1952,Thai House Massage 1952,传统泰式按摩,假日酒店对面巷子,6,"罗勇府马杀鸡店推荐
罗勇这家藏在巷子里的 spa 店 个人私藏
🇹🇭沙美岛马杀鸡推荐
在沙美岛找到喜欢的泰式按摩店
沙美島的Let’s Relax 服務與技術首選","https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f8122f0000000035038e48?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6797bb65000000002901b9cf?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a2a9b2000000001a01e360?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a957805000000002303f434?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,康养SPA,Dhivarin Spa,Dhivarin Spa,SPA与水疗,Le Vimarn酒店内,1,🇹🇭 试试把沙美岛AoPrao海滩说明白,https://www.xiaohongshu.com/explore/65cf93e4000000002d001ba8?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
宋卡府,康养SPA,Anda Spa,Anda Spa Hatyai,泰式SPA,市区,1,📍合艾 宝藏泰式按摩｜Anda Spa,https://www.xiaohongshu.com/explore/69f08e3b000000003501f066?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
宋卡府,康养SPA,Chaowang Massage,Chaowang Massage,新派按摩,Lee Garden南边,1,在合艾找到了一家非常舒服的按摩店,https://www.xiaohongshu.com/explore/69f8cf17000000003501fbf6?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
宋卡府,康养SPA,Four Season Healthy,Four Season Healthy,健康按摩,CC酒店附近,1,🇲🇾2026合艾游住宿篇-CC Hotel🏨,https://www.xiaohongshu.com/explore/69d5bde50000000020038f27?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
宋卡府,康养SPA,Oliver Thai Traditional Massage,Oliver Thai Traditional Massage,传统按摩,Lotus小超市旁,1,🇹🇭悄悄告诉你🤫这家按摩院多人不知道,https://www.xiaohongshu.com/explore/69203d90000000001e01107b?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
宋卡府,康养SPA,Proud Massage & Relax,Proud Massage & Relax,高端按摩,Greenway夜市对面,1,🇹🇭 合艾按摩推荐Greenway这家真的很可以,https://www.xiaohongshu.com/explore/6a81af6f0000000011022f48?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
宋卡府,康养SPA,Sawassdee,Sawassdee Hatyai,洗头按摩,市区,1,大马留子|🇹🇭合艾➕宋卡4D3N自由行（自用版）,https://www.xiaohongshu.com/explore/6a6be9c40000000006007b44?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,休闲娱乐,Chokchai Farm,โชคชัยฟาร์ม,亲子乐园与动物体验,考艾,1,泰国🇹🇭考艾 3天2晚自由行攻略,https://www.xiaohongshu.com/explore/6985c506000000000d00a373?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
