行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
呵叻府,休闲娱乐,Chokchai Farm,โชคชัยฟาร์ม,亲子乐园与动物体验,考艾,29,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子,喂小动物、骑马体验、牛仔马表演、特色冰淇淋,泰国🇹🇭考艾 3天2晚自由行攻略,https://www.xiaohongshu.com/explore/6985c506000000000d00a373?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,休闲娱乐,Sweet&Green Farm,Sweet&Green Farm,亲子乐园与动物体验,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子家庭,"有机蔬菜园,可带孩子采摘蔬菜",泰国考艾亲子攻略｜自然×农场×美食一次满足,https://www.xiaohongshu.com/explore/695cb06f000000001a023951?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,休闲娱乐,Thongsomboon Club,Thongsomboon Club,户外乐园,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子家庭,"骑马、碰碰车、漂流等娱乐活动,有心形树",📷泰国宝藏打卡地Vol.14——Thongsomboonclub,https://www.xiaohongshu.com/explore/64df4146000000001201b90c?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,Fahsai Massage,Fahsai Massage,社区按摩,主街711往码头方向右手边,75,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,性价比/手法好,"内部干净整洁,阿姨按得非常好,去了三次三个不同阿姨都不错","🇹🇭沙美岛马杀鸡推荐
最舒服的按摩店居然在沙美岛？！","https://www.xiaohongshu.com/explore/6797bb65000000002901b9cf?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66e7a7260000000025030c13?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,Nava Health Spa,Nava Health Spa,高端SPA,需打车,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,环境党/华裔服务,"环境最好,老板娘华裔会讲中文,香薰精油选择多,需提前预约",罗勇府马杀鸡店推荐,https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,Sirion Massage,Sirion Massage,泰式草药,主街,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,避雷,"泰式草药全身120分钟800铢,需排队45分钟,草药包蒸的1小时按身体1小时戳戳戳,无聊不推荐",🇹🇭沙美岛马杀鸡推荐,https://www.xiaohongshu.com/explore/6797bb65000000002901b9cf?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,ระยอง เฮลท์ตี้ นวดเพื่อสุขภาพ,Rayong Healthy Massage,健康按摩,假日酒店马路对面,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,安全便利,"旁边有小夜市和2家7-11,临街位置好,环境干净无功无过",罗勇府马杀鸡店推荐,https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,เรือนไทยระยอง 2495 Thai House Massage 1952,Thai House Massage 1952,传统泰式按摩,假日酒店对面巷子,75,6,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,传统体验,"传统泰式小木屋有味道,环境干净,2小时Thai Massage with Tissue Oil不错,小巷子有狗","罗勇府马杀鸡店推荐
罗勇这家藏在巷子里的 spa 店 个人私藏
🇹🇭沙美岛马杀鸡推荐
在沙美岛找到喜欢的泰式按摩店
沙美島的Let’s Relax 服務與技術首選","https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f8122f0000000035038e48?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6797bb65000000002901b9cf?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a2a9b2000000001a01e360?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a957805000000002303f434?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,Dhivarin Spa,Dhivarin Spa,SPA与水疗,Le Vimarn酒店内,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,高端度假,"都是L的SPA,泳池边按摩和海滩按摩,建议到了就预约,连续两天约满",🇹🇭 试试把沙美岛AoPrao海滩说明白,https://www.xiaohongshu.com/explore/65cf93e4000000002d001ba8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,康养SPA,Finn Massage,芬恩按摩,精油按摩,邦娘夜市附近,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,性价比,650泰铢/小时、预约方便,🇹🇭考拉Khao Lak - 四天四夜,https://www.xiaohongshu.com/explore/69cbb7c4000000001a028066?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,康养SPA,Nalinya Spa,娜琳雅SPA,亲子SPA,卡塔坦尼金沙度假村,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/亲子,90-120分钟家庭套餐、4-10岁儿童专属,家庭Spa💆才是泰国亲子游正确打开方式！,https://www.xiaohongshu.com/explore/673b22a60000000008005402?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,康养SPA,Quan Spa,权SPA,高端SPA,JW万豪酒店内,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,住客/放松,泰式按摩、Facial、住客优惠,考拉JW 万豪水疗度假酒店,https://www.xiaohongshu.com/explore/6a5b3db4000000000301fe63?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,康养SPA,Sala Massage,萨拉按摩,海滩按摩,卡塔坦尼金沙度假村,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,情侣/仪式感,面朝大海、海风、专业手法,家庭Spa💆才是泰国亲子游正确打开方式！,https://www.xiaohongshu.com/explore/673b22a60000000008005402?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,康养SPA,Akha Ya Massage & Spa,Akha Ya Massage & Spa,按摩店,夜市869/169 Phahonyothin Rd,69,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合性价比,泰式/足底30min 180泰铢、60min 250泰铢,清莱spa探店|人均250泰铢💆60min泰式按摩,https://www.xiaohongshu.com/explore/5e465d340000000001008a1d?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,康养SPA,Baan Tawan Massage,Baan Tawan Massage,按摩店,班塔万民宿一层,69,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合便宜,2小时Thai Massage 360泰铢、需前台预约,泰国清莱旅游 泰式按摩,https://www.xiaohongshu.com/explore/62b6b829000000000102c058?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,康养SPA,Grand Spa,Grand Spa,SPA,夜市旁,69,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合标准流程,60min热油按摩1000泰铢、流程标准,泰国第三天：到了清莱,https://www.xiaohongshu.com/explore/6a3895950000000015024504?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,康养SPA,The Lanna Xxx,The Lanna Healing Package,按摩店,夜市附近Kha Ya Massage旁,69,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合放松,兰纳风格门面、有中英泰文Menu、技师Sayadi英文好,泰国清莱旅游 泰式按摩,https://www.xiaohongshu.com/explore/62b6b829000000000102c058?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,康养SPA,Parvati Spa,Parvati Spa,SPA与水疗,清莱艾美度假酒店内,69,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合度假放松,庭院植被环绕、45-90min、有Golden Siamese/Thai Traditional/Lanna Retreat,"清莱疗愈SPA｜清莱艾美度假酒店水疗中心💆
用一次正宗的泰式按摩，真正的放松身心","https://www.xiaohongshu.com/explore/66306823000000001e038bd5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6964b215000000000a02b2ba?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,康养SPA,Irene Spa,Irene Spa,SPA,丽贝岛田园酒店,70,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求高端SPA、预算充足,1800泰铢起/小时、环境优雅、手法轻柔专业、需预约,10.25丽贝岛玻璃海～📍日出海滩 餐饮&Spa,https://www.xiaohongshu.com/explore/671ccb26000000001600f616?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,康养SPA,Soi Buri Massage,Soi Buri Massage,按摩店,丽贝岛步行街转角处大树下,70,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,预算中等,350泰铢、但有笔记吐槽技师缺斤少两、步骤不全,丽贝岛按摩千万要避雷【小武里】！,https://www.xiaohongshu.com/explore/66d361d1000000001f03c27c?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,康养SPA,Sui Buri Massage,Sui Buri Massage,按摩店,丽贝岛小711往walking street右边斜坡,70,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求手法好、预算中等,350泰铢左右、技师手法到位、有会讲粤语的马来西亚技师,丽贝岛按摩千万要避雷【小武里】！,https://www.xiaohongshu.com/explore/66d361d1000000001f03c27c?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,Anda Spa,Anda Spa Hatyai,泰式SPA,市区,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,逛累充电,"环境干净舒服,先填写身体状况表,泰式按摩力度刚刚好",📍合艾 宝藏泰式按摩｜Anda Spa,https://www.xiaohongshu.com/explore/69f08e3b000000003501f066?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,Chaowang Massage,Chaowang Massage,新派按摩,Lee Garden南边,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求干净环境,"刚开一个月的新店,环境干净很新,按摩到位情绪价值足",在合艾找到了一家非常舒服的按摩店,https://www.xiaohongshu.com/explore/69f8cf17000000003501fbf6?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,Four Season Healthy,Four Season Healthy,健康按摩,CC酒店附近,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭出游,很棒,🇲🇾2026合艾游住宿篇-CC Hotel🏨,https://www.xiaohongshu.com/explore/69d5bde50000000020038f27?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,Oliver Thai Traditional Massage,Oliver Thai Traditional Massage,传统按摩,Lotus小超市旁,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,性价比追求者,"传统泰式按摩2小时400泰铢,独立按摩房干净舒适,结束后准备茶水",🇹🇭悄悄告诉你🤫这家按摩院多人不知道,https://www.xiaohongshu.com/explore/69203d90000000001e01107b?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,Proud Massage & Relax,Proud Massage & Relax,高端按摩,Greenway夜市对面,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求品质体验,"Google review 5.0,按摩前有洗脚环节,环境舒服有疗愈精油味,价格比Lee Garden高",🇹🇭 合艾按摩推荐Greenway这家真的很可以,https://www.xiaohongshu.com/explore/6a81af6f0000000011022f48?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,Sawassdee,Sawassdee Hatyai,洗头按摩,市区,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,洗头+按摩,洗头服务,大马留子|🇹🇭合艾➕宋卡4D3N自由行（自用版）,https://www.xiaohongshu.com/explore/6a6be9c40000000006007b44?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,康养SPA,拜县传统泰式按摩店,,泰式按摩,拜县,43,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,150泰铢/小时,中,清迈Day15｜离开拜县早上打泰拳按摩店推荐,https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,康养SPA,Anong Thai Massage,Anong Thai Massage,泰式按摩,拜县,43,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,250泰铢/小时+踩雷痛,中,"超详细⚠️一个人拜县旅游完全攻略(上)
清迈Day15｜离开拜县早上打泰拳按摩店推荐","https://www.xiaohongshu.com/explore/64a7c6850000000023035fca?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,康养SPA,Mamalon Massage,Mamalon Massage,泰式按摩,拜县,43,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,环境好+按法舒服+以前做度假村按摩,强,"🇹🇭拜县马杀鸡踩雷店｜别去这家
清迈Day15｜离开拜县早上打泰拳按摩店推荐","https://www.xiaohongshu.com/explore/63f45a250000000027011ab9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,康养SPA,Prawniee Paicity2 Massage,Prawniee Paicity2 Massage,泰式按摩,拜县,43,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,250泰铢+谷歌4.9分,强,清迈Day15｜离开拜县早上打泰拳按摩店推荐,https://www.xiaohongshu.com/explore/6914b3ea0000000005003323?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,康养SPA,Sapaiya Spa,Sapaiya Spa,SPA与水疗,拜县,43,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,590泰铢/小时+仅女性技师,强,超详细⚠️一个人拜县旅游完全攻略(上),https://www.xiaohongshu.com/explore/64a7c6850000000023035fca?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,康养SPA,Day & Night Massage,เดย์ แอนด์ ไนท์,按摩店,夜市里夜市摊后面房子,51,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,适合夜间放松,200泰铢1小时泰式按摩、技师笑容好手法专业,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,康养SPA,KINN Massage,คินน์ นวด,按摩店,夜市口,51,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,适合追求环境服务,环境服务超棒、全身精油+足底90分钟800泰铢、手法舒服,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,康养SPA,Koi Massage,คอย นวด,传统泰式按摩店,夜市边上,51,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,适合肩颈有问题者,泰式传统木质风格、阿姨手法好会针对性疏通、60分钟混合精油按摩500泰铢,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,康养SPA,BearHub Relax Zone,BearHub Relax Zone,按摩店,市区,41,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,放松/按摩,"环境好服务人员nice,旁边有海鲜自助",,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,沙美岛主街711旁按摩店,Unnamed Massage Shop,社区按摩,主街711路口突突车站往海滩方向右手边,75,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,性价比,"2小时700铢,小费自愿,找上岁数胖胖的按摩师有劲儿能找到酸痛爽点",,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,康养SPA,Navara 按摩店,纳瓦拉按摩,泰式按摩,邦娘集市附近,51,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,意外发现,门口鞋子多、手法好、离集市不远,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,Michael Massage,Michael Massage,专业按摩,Lee Garden,42,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,追求手法到位,"老板是马来西亚女婿,200泰铢/小时foot massage包括15分钟肩膀和头,手法超级到位不像摸来摸去",,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,康养SPA,TNY Massage,TNY Massage,泰式按摩,Lee Garden附近,42,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,按摩爱好者,"强烈推荐,手法到位",,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,康养SPA,Spa Exotic水疗馆,水疗馆,拜县,温泉体验,43,0,本轮新增名称候选,,固定实体候选,暂缓｜引用正文未直接命中名称,80泰铢/温泉,中,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
