标准平台ID,标准名称,展示名称集合,平台类型,归属集团,价格性质,上游源平台ID,同源组ID,是否同源代表,主域名,Google落地层级,平台酒店ID提取规则,可达性,采集通道,采集优先级,当前覆盖酒店数,洞察覆盖酒店数,robots策略,注册表版本,更新时间
clicktrip,Clicktrip.com,"[""Clicktrip.com""]",C白标联盟,独立白标,白标转售,,,否,clicktrip.com,L2,upstream_adapter:clicktrip,open,none,none,23,21,unknown,v1.1,2026-09-06T09:52:17-07:00
closest_hotel,Closest Hotel,"[""Closest Hotel""]",C白标联盟,独立白标,白标转售,,,否,closesthotel.com,L0,upstream_adapter:closesthotel,open,none,none,26,24,unknown,v1.1,2026-09-06T09:52:17-07:00
dealbase,dealbase.com,"[""dealbase.com""]",C白标联盟,Vio网络,白标转售,vio,vio_network,否,deals.dealbase.com,L0,upstream_adapter:meta_redirect,open,none,none,135,117,unknown,v1.1,2026-09-06T09:52:17-07:00
edreams,eDreams,"[""eDreams""]",A1一级OTA,eDreams ODIGEO,真实源,,,否,accommodation.edreams.net,L1,upstream_adapter:expedia_family,partial,none,none,256,220,unknown,v1.1,2026-09-06T09:52:17-07:00
etrip,Etrip.net,"[""Etrip.net""]",C白标联盟,Vio网络,白标转售,vio,vio_network,否,deals.etrip.net,L0,upstream_adapter:meta_redirect,open,none,none,197,170,unknown,v1.1,2026-09-06T09:52:17-07:00
evendo,Evendo,"[""Evendo""]",C白标联盟,独立白标,白标转售,,,否,evendo.com,L0,upstream_adapter:evendo,login_or_captcha,none,none,102,89,manual_review,v1.1,2026-09-06T09:52:17-07:00
expedia,Expedia.com,"[""Expedia.co.th"", ""Expedia.com""]",A1一级OTA,Expedia Group,真实源,,expedia_inventory,否,expedia.com,L1,upstream_adapter:expedia_family,login_or_captcha,api,none,264,210,manual_review,v1.1,2026-09-06T09:52:17-07:00
globehunters,Globehunters UK,"[""Globehunters UK""]",D渠道商,Globehunters(英国),渠道价,,,否,hotel.globehunters.com,L0,upstream_adapter:generic,open,none,none,1,1,unknown,v1.1,2026-09-06T09:52:17-07:00
goseek,goseek.com,"[""goseek.com""]",C白标联盟,Vio网络,白标转售,vio,vio_network,否,deals.goseek.com,L0,upstream_adapter:meta_redirect,open,none,none,168,147,unknown,v1.1,2026-09-06T09:52:17-07:00
halalbooking,Halalbooking,"[""Halalbooking""]",A1一级OTA,Halalbooking(清真垂直),真实源,,,否,halalbooking.com,L0,upstream_adapter:halalbooking,open,none,none,2,2,unknown,v1.1,2026-09-06T09:52:17-07:00
hopegoo,HOPEGOO,"[""HOPEGOO""]",A1一级OTA,HOPEGOO,真实源,,,否,hopegoo.com,L2,upstream_adapter:hopegoo,open,none,none,21,16,unknown,v1.1,2026-09-06T09:52:17-07:00
hotel_prive,Hotel prive,"[""Hotel prive""]",C白标联盟,独立白标,白标转售,,,否,hotelprive.net,L0,upstream_adapter:hotelprive,open,none,none,18,15,unknown,v1.1,2026-09-06T09:52:17-07:00
kayak,KAYAK.com,"[""KAYAK.com""]",B元搜索,Booking Holdings,二手索引,,kayak_network,否,kayak.com,L2,upstream_adapter:kayak_family,robots_denied,none,none,110,92,manual_review,v1.1,2026-09-06T09:52:17-07:00
kiwi,Kiwi.com,"[""Kiwi.com""]",C白标联盟,Vio网络,白标转售,vio,vio_network,否,hotels-tracker.kiwi.com,L0,upstream_adapter:kiwi,open,none,none,87,70,manual_review,v1.1,2026-09-06T09:52:17-07:00
lastminute,lastminute.com,"[""lastminute.com""]",D渠道商,lastminute(欧洲),渠道价,,,否,us.lastminute.com,L2,upstream_adapter:lastminute,open,none,none,2,2,unknown,v1.1,2026-09-06T09:52:17-07:00
lion_travel,Lion Travel 雄獅旅遊,"[""Lion Travel 雄獅旅遊""]",D渠道商,雄狮旅游(台湾),渠道价,,,否,hotel.liontravel.com,L2,upstream_adapter:liontravel,open,none,none,4,4,unknown,v1.1,2026-09-06T09:52:17-07:00
long_stay_discounts,Long Stay Discounts,"[""Long Stay Discounts""]",C白标联盟,独立白标,白标转售,,,否,longstaydiscounts.com,L0,upstream_adapter:longstaydiscounts,open,none,none,2,2,unknown,v1.1,2026-09-06T09:52:17-07:00
luxury_escapes,Luxury Escapes,"[""Luxury Escapes""]",A1一级OTA,Luxury Escapes(澳洲高端),真实源,,,否,luxuryescapes.com,L1,upstream_adapter:luxuryescapes,open,none,none,7,7,unknown,v1.1,2026-09-06T09:52:17-07:00
michelin,Michelin Guide Hotels,"[""Michelin Guide Hotels""]",B元搜索,Michelin,二手索引,,,否,guide.michelin.com,L1,upstream_adapter:michelin,open,none,none,2,2,unknown,v1.1,2026-09-06T09:52:17-07:00
momondo,momondo.com,"[""momondo.com""]",B元搜索,Booking Holdings,二手索引,,kayak_network,否,momondo.com,L2,upstream_adapter:kayak_family,open,none,none,111,96,unknown,v1.1,2026-09-06T09:52:17-07:00
muv,müv AI,"[""müv AI""]",C白标联盟,独立白标,白标转售,,,否,muvtravel.com,L0,upstream_adapter:muv,open,none,none,93,75,unknown,v1.1,2026-09-06T09:52:17-07:00
orbitz,Orbitz.com,"[""Orbitz.com""]",C白标联盟,Expedia白标,白标转售,expedia,expedia_inventory,否,orbitz.com,L1,upstream_adapter:expedia_family,login_or_captcha,api,none,246,209,manual_review,v1.1,2026-09-06T09:52:17-07:00
pilot,Pilot,"[""Pilot""]",B元搜索,Pilot,二手索引,,,否,pilotplans.com,L0,upstream_adapter:pilot,open,none,none,2,2,unknown,v1.1,2026-09-06T09:52:17-07:00
prestigia,Prestigia.com,"[""Prestigia.com""]",A1一级OTA,Prestigia,真实源,,,否,prestigia.com,L0,upstream_adapter:prestigia,open,none,none,1,1,unknown,v1.1,2026-09-06T09:52:17-07:00
reserving,Reserving,"[""Reserving""]",C白标联盟,独立白标,白标转售,,,否,h-en.reserving.com,L1,upstream_adapter:reserving,open,none,none,49,38,unknown,v1.1,2026-09-06T09:52:17-07:00
skylark,SKYLARK,"[""SKYLARK""]",C白标联盟,独立白标,白标转售,,,否,skylark.com,L2,upstream_adapter:skylark,open,none,none,2,2,unknown,v1.1,2026-09-06T09:52:17-07:00
skyscanner,Skyscanner,"[""Skyscanner""]",B元搜索,Skyscanner(Trip系),二手索引,,,否,skyscanner.net,L1,upstream_adapter:skyscanner,open,none,none,3,3,unknown,v1.1,2026-09-06T09:52:17-07:00
travelko,TRAVELKO,"[""TRAVELKO""]",B元搜索,TRAVELKO(日本),二手索引,,,否,travelko.com,L1,upstream_adapter:travelko,open,none,none,5,5,unknown,v1.1,2026-09-06T09:52:17-07:00
travelocity,Travelocity.com,"[""Travelocity.com""]",C白标联盟,Expedia白标,白标转售,expedia,expedia_inventory,否,travelocity.com,L1,upstream_adapter:expedia_family,login_or_captcha,api,none,261,224,manual_review,v1.1,2026-09-06T09:52:17-07:00
travelup,TravelUP,"[""TravelUP""]",C白标联盟,独立白标,白标转售,,,否,travelup.com,L0,upstream_adapter:travelup,open,none,none,41,34,unknown,v1.1,2026-09-06T09:52:17-07:00
traveluro,Traveluro,"[""Traveluro""]",C白标联盟,Traveluro(主品牌),白标转售,,traveluro_network,是,traveluro.com,L2,upstream_adapter:traveluro,open,none,none,20,20,unknown,v1.1,2026-09-06T09:52:17-07:00
tripbtoz,Tripbtoz,"[""Tripbtoz""]",A1一级OTA,Tripbtoz(韩国),真实源,,,否,tripbtoz.com,L2,upstream_adapter:tripbtoz,open,none,none,1,1,unknown,v1.1,2026-09-06T09:52:17-07:00
tripening,Tripening Hotels,"[""Tripening Hotels""]",C白标联盟,独立白标,白标转售,,,否,tripening.com,L2,upstream_adapter:tripening,open,none,none,96,83,manual_review,v1.1,2026-09-06T09:52:17-07:00
trivago,trivago.com,"[""trivago.com""]",B元搜索,trivago(Expedia系),二手索引,,,否,trivago.com,L0,upstream_adapter:trivago,open,none,none,3,2,unknown,v1.1,2026-09-06T09:52:17-07:00
trivago_deals,trivago DEALS,"[""trivago DEALS""]",C白标联盟,Traveluro后端,白标转售,traveluro,traveluro_network,否,trivago.deals,L2,upstream_adapter:trivago_deals,open,none,none,24,22,unknown,v1.1,2026-09-06T09:52:17-07:00
