行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
宋卡府,景点观光,宋卡城隍庙,ศาลเจ้าพ่อหลักเมืองสงขลา (Songkhla City Pillar Shrine),文化古迹与宗教,老街,42,1,疑似已存在,THXHSFINAL-1470:宋卡城隍庙,固定实体候选,合并既有记录，不新增,文化爱好者,"始建于1842年(清道光二十二年),距今160余年,泰国最古老华人古迹之一",泰国预备世界遗产地｜南洋秘境-宋卡老城,https://www.xiaohongshu.com/explore/6a896d8000000000380001fe?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,宋卡国家博物馆,Songkhla National Museum,博物馆,市区,42,2,疑似已存在,THXHSFINAL-1468:Songkhla National Museum,固定实体候选,合并既有记录，不新增,历史文化爱好者,"吴氏王朝曾经王府,西洋与闽南风格完美融合,可能收门票但到访时修缮中免费","泰国预备世界遗产地｜南洋秘境-宋卡老城
大马留子|🇹🇭合艾➕宋卡4D3N自由行（自用版）","https://www.xiaohongshu.com/explore/6a896d8000000000380001fe?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6be9c40000000006007b44?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,宋卡老街,Songkhla Old Town,历史文化街区,老城区,42,11,疑似已存在,THXHSFINAL-1413:Songkhla Old Town,固定实体候选,合并既有记录，不新增,拍照/文化爱好者,"彩色中葡式老建筑、老店、咖啡馆、Street Art壁画,像马六甲或槟城老街","🇹🇭｜合艾宋卡老街半日游🚗
🇹🇭合艾3天2夜极致懒人攻略 | 槟城出发
泰国🇹🇭合艾Hatyai｜一座被低估的小城🌿
🇹🇭合艾旅行最满意的景点😍
穷游第12天泰国（合艾-宋卡）暮色打卡","https://www.xiaohongshu.com/explore/68f8b97900000000040050d0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/698c767e000000001a02bd12?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69d6a800000000002102d88a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65da15610000000007026cd9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66b1fe8b0000000005022d1b?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,宋卡陶瓷博物馆,Songkhla Ceramic Museum,专题博物馆,市区,42,1,疑似已存在,THXHSFINAL-1467:Songkhla Ceramic Museum,固定实体候选,合并既有记录，不新增,陶瓷爱好者/拍照党,"景观不错适合拍照,特别有中式风格",泰国预备世界遗产地｜南洋秘境-宋卡老城,https://www.xiaohongshu.com/explore/6a896d8000000000380001fe?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,唐宽山,Tang Kuan Hill (เขาตังกู),自然景观与户外,城市制高点,42,1,疑似已存在,THXHSFINAL-1557:唐宽山,固定实体候选,合并既有记录，不新增,日落爱好者,"城市制高点俯瞰全景,看日落",泰国预备世界遗产地｜南洋秘境-宋卡老城,https://www.xiaohongshu.com/explore/6a896d8000000000380001fe?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
素可泰府,景点观光,西春寺,Wat Si Chum,文化古迹与宗教,素可泰历史公园北区,42,4,疑似已存在,THXHSFINAL-1313:西春寺,固定实体候选,合并既有记录，不新增,历史爱好者,"最出名的寺庙之一,门票120泰铢","在素可泰闲逛的日子，如果你到了西春寺附近，刚好饿了想吃点东西喝点饮料，喜欢安静的
🇹🇭攻略｜泰国素可泰餐厅、民宿、乘车推荐‼️
这家远离中心的小店，让我总想再回到素可泰
120r 泰国6城火车游第三站：素可泰","https://www.xiaohongshu.com/explore/67342a51000000001b013e3a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/664b47730000000016012108?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/695f65a5000000000b0100cd?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/694286bc000000001f0055f1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,茉莉之城,Mallika R.E 124 เมืองมัลลิกา,复古主题公园,市区外,27,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,文化体验游客,穿泰服品尝传统小吃用古钱币交易、仿佛回到拉玛五世时代、45元/人,"北碧府tips
曼谷出发🚗2.5h 打卡这座小众宝藏小城","https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65aa6faa000000002d030535?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,Skywalk Kanchanaburi City,Skywalk Kanchanaburi City,玻璃栈道观景台,市区,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,日落摄影游客,俯瞰桂河、风景如诗如画、门票60泰铢,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，",https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,通瓦兰沙滩,Thong Wa Lan Beach,海滩,Cleanwave Resort门口,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,躺平/赶海,"干净人少,可赶海挖螃蟹,看日出",🇹🇭春蓬｜三天三夜吃喝住行全攻略,https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,Ao Bo Mao Bay,Ao Bo Mao Bay,海湾,距市中心33km,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子/游泳,"海湾浅浪小特别适合孩子游泳,沙滩有一些沙蝇",泰国春蓬自驾〡小众海边高性价比民宿,https://www.xiaohongshu.com/explore/6a915691000000002503d06b?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,Khao Matri View Point,Khao Matri View Point/Khao Matsee View Point,山顶观景台,市区附近山上,41,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,观景/拍照,"可俯瞰春蓬全景,骑摩托车上山风光好,有佛像可拜拜","未被“网红化”的泰国/春蓬府
泰南春蓬
泰国春蓬🇹🇭山顶的绝美咖啡馆+动物园","https://www.xiaohongshu.com/explore/69c11256000000002301534c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7d3913000000003300bca7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68a18b77000000001d01b531?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,Pak Nam Chumphon Beach,Pak Nam Chumphon Beach ชายทะเลปากน้ําชุมพร,海滩,市区附近,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,看日落/散步,"可玩水看日落,海水较干净",未被“网红化”的泰国/春蓬府,https://www.xiaohongshu.com/explore/69c11256000000002301534c?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,Saphli Beach,Saphli Beach,海滩,秘境度假村附近,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,躺平/安静度假,"宁静闲适,偶有晒太阳遛狗的,可看球喝酒吹海风",春蓬一日躺平游记,https://www.xiaohongshu.com/explore/69885dbc0000000028008846?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,Suspension Bridge - Deer,Suspension Bridge - Deer สะพานชมกวาง,麋鹿公园,市区附近,41,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子/动物爱好者,"免门票,可喂麋鹿(香蕉20泰铢/串),公园也卖香蕉","🇹🇭春蓬｜三天三夜吃喝住行全攻略
泰南春蓬","https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7d3913000000003300bca7?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,Tham Than Nam Lot,Tham Than Nam Lot,天门山/洞穴,距曼谷6小时车程,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,探险/自然爱好者,"海拔500米云海日出,天然天门岩石拱门,佛像,洞穴探险约2公里,需爬700-900级台阶",泰国版天门山｜云海仙境在春蓬,https://www.xiaohongshu.com/explore/690ac3a00000000005038ccb?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,景点观光,南园岛,Nang Yuan Island,海岛海滩与水上,涛岛附近,41,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,浮潜/一日游,"涛岛边小岛,浮潜点之一","🇹🇭被欧美人占领的宝藏小岛🏝️涛岛怎么玩
从曼谷苏万那普机场坐火车到涛岛的行程","https://www.xiaohongshu.com/explore/6a81773b00000000330371f7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6664eaef0000000006006e08?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,景点观光,Emerald Cave,Emerald Cave,自然景观与户外,西海岸,42,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,喜欢浮潜探险的游客,"需扶绳游进洞穴,洞内风景别有洞天","一张图看懂董里的岛怎么玩
董里四岛｜泰南冷门海岛群一日游体验测评
安达曼小众岛屿——奈岛Nai","https://www.xiaohongshu.com/explore/67430b4200000000070280a1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/683343ab0000000023017b9a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69c9fffd0000000021005ed8?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,景点观光,考艾国家公园北门入口,Khao Yai National Park Checkpoint - Pak Chong,国家公园入口,北大门,55,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,自驾游客,"从巴冲方向进入,主入口之一","泰国考艾国家公园 移动风景线之公路
泰国考艾国家公园两天一夜自驾行程攻略","https://www.xiaohongshu.com/explore/68b5adfe000000001b03c787?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a1934430000000036001d5d?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,景点观光,考艾国家公园南门入口,Khao Yai National Park Checkpoint (Prachinburi Side),国家公园入口,南大门,55,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,自驾游客,"从巴真府方向进入,可穿越整个公园从北门出","泰国考艾国家公园 移动风景线之公路
泰国考艾国家公园两天一夜自驾行程攻略","https://www.xiaohongshu.com/explore/68b5adfe000000001b03c787?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a1934430000000036001d5d?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,景点观光,披迈石宫,Phimai Historical Park / Prasat Phimai,历史遗迹,披迈县,55,8,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,历史爱好者,"泰国最大高棉建筑遗迹,被誉为""泰国吴哥窟""","泰国也有“吴哥窟”→泰国最大高棉圣殿
披迈石宫｜泰国藏着一座高棉文明遗珠
当我坐火车从曼谷一路向东北
碧邁遺跡公園Phimai Historical Park呵叻府
呵叻| 跨越国界的文明—披迈石宫","https://www.xiaohongshu.com/explore/6a928688000000002903dbbc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2f1a7f0000000016027208?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69b4e6a6000000001a036776?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66c85df9000000001f03af0f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a32ac9700000000160264c1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
