平台名称,覆盖酒店数,平台类型,归属集团,价格性质,主域名,Google落地层级,平台酒店ID提取率,URL模板率,访问限制,URL固化难度
AsiaYo,13,A1一级OTA,AsiaYo(台湾),真实源,asiayo.com,L0中转页,100%,100%,未见限制,B 一次跳转
Luxury Escapes,7,A1一级OTA,Luxury Escapes(澳洲高端),真实源,luxuryescapes.com,L1搜索页,100%,100%,未见限制,B 一次跳转
TRAVELKO,5,B元搜索,TRAVELKO(日本),二手索引,travelko.com,L1搜索页,100%,0%,未见限制,B 一次跳转
BookMyBooking.com,5,C白标联盟,独立白标,白标转售,bookmybooking.com,L2详情页,100%,0%,未见限制,B 一次跳转
Ascend Travel,5,C白标联盟,独立白标,白标转售,hotel.ascendtravel.com,L0中转页,100%,0%,未见限制,B 一次跳转
Lion Travel 雄獅旅遊,4,D渠道商,雄狮旅游(台湾),渠道价,hotel.liontravel.com,L2详情页,100%,0%,未见限制,B 一次跳转
Skyscanner,3,B元搜索,Skyscanner(Trip系),二手索引,skyscanner.net,L1搜索页,100%,100%,未见限制,B 一次跳转
ZenHotels.com,3,A1一级OTA,Emerging Travel(RateHawk),真实源,zenhotels.com,L1搜索页,100%,0%,未见限制,B 一次跳转
lastminute.com,2,D渠道商,lastminute(欧洲),渠道价,us.lastminute.com,L2详情页,100%,0%,未见限制,B 一次跳转
Halalbooking,2,A1一级OTA,Halalbooking(清真垂直),真实源,halalbooking.com,L0中转页,100%,100%,未见限制,B 一次跳转
SKYLARK,2,C白标联盟,独立白标,白标转售,skylark.com,L2详情页,100%,100%,未见限制,A 直拼
Pilot,2,B元搜索,Pilot,二手索引,pilotplans.com,L0中转页,100%,100%,未见限制,B 一次跳转
Michelin Guide Hotels,2,B元搜索,Michelin,二手索引,guide.michelin.com,L1搜索页,100%,100%,未见限制,B 一次跳转
Long Stay Discounts,2,C白标联盟,独立白标,白标转售,longstaydiscounts.com,L0中转页,100%,100%,未见限制,B 一次跳转
trivago.com,2,B元搜索,trivago(Expedia系),二手索引,trivago.com,L0中转页,100%,0%,未见限制,B 一次跳转
Best Hotel Deals,1,C白标联盟,独立白标,白标转售,besthoteldealsglobal.com,L2详情页,100%,0%,未见限制,B 一次跳转
Prestigia.com,1,A1一级OTA,Prestigia,真实源,prestigia.com,L0中转页,100%,100%,未见限制,B 一次跳转
Tripbtoz,1,A1一级OTA,Tripbtoz(韩国),真实源,tripbtoz.com,L2详情页,100%,100%,未见限制,A 直拼
Bookhotel.direct,1,A1一级OTA,Bookhotel.direct,真实源,always.bookhotel.direct,L0中转页,100%,100%,未见限制,B 一次跳转
Globehunters UK,1,D渠道商,Globehunters(英国),渠道价,hotel.globehunters.com,L0中转页,0%,0%,未见限制,B 一次跳转
