行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
北碧府,交通服务,北碧火车站,Kanchanaburi Station,火车站,市区,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,火车到达/离开游客,可步行到桂河大桥、有夜市和餐厅,🇹🇭北碧府四天三夜背包旅行攻略—P1,https://www.xiaohongshu.com/explore/67e40184000000001d018e56?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,交通服务,桂河大桥站,Saphan Kwae Yai Station,火车站,桂河大桥旁,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,死亡铁路游客,可直接上火车、步行到观音寺和夜市,北碧府tips,https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,交通服务,甲赛站,Tham Krasae Station,火车站,死亡铁路悬崖段,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,摄影游客,经典机位、悬崖木栈道看火车驶过,花200泰铢，坐上泰国最美铁路！,https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,交通服务,曼谷南部巴士总站,Sai Tai Mai Bus Terminal,巴士站,吞武里区,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,巴士前往北碧游客,每小时一班小巴、130泰铢、车程约2.5小时,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，",https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,交通服务,桑卡武里县汽车站,Sangkhla Buri Minibus Terminal,巴士站,孟族村附近,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,前往孟族村游客,每天早8:05一班、5小时车程、复古大巴无空调,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,交通服务,Wang Pho火车站,Wang Pho Station,火车站,孟族村附近,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,深度游游客,可体验水中寺庙和清晨布施,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,交通服务,春蓬火车站,Chumphon Railway Station,火车站,市区,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,中转游客,"有小火车站,有退役火车头可看,去码头皮卡车150泰铢/人30分钟",春蓬火车站到春蓬码头（150🐷，皮卡车）,https://www.xiaohongshu.com/explore/6704598a000000002c016b0e?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,交通服务,春蓬机场,Chumphon Airport,机场,市区附近,41,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,飞机抵达/离开,"迷你机场一天1-3航班,有minibus去市区300泰铢/人,约半小时一班","【泰国春蓬至龟岛出行全攻略】深度解析，避免
🇹🇭春蓬｜比苏梅更安静的度假天堂💙
我终于知道为什么涛岛的中国人那么少了","https://www.xiaohongshu.com/explore/66bcc3b80000000005021ecc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68f233610000000005000e10?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66a5c3870000000009016513?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,交通服务,春蓬码头,Chumphon Pier (Lomprayah),码头,市区附近,41,4,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,涛岛中转,"Lomprayah公司码头,去涛岛/苏梅岛,船票750泰铢,等船近3小时有室外躺椅","春蓬火车站到春蓬码头（150🐷，皮卡车）
从曼谷苏万那普机场坐火车到涛岛的行程
我终于知道为什么涛岛的中国人那么少了
春蓬🌴🌊","https://www.xiaohongshu.com/explore/6704598a000000002c016b0e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6664eaef0000000006006e08?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66a5c3870000000009016513?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67d94b50000000001b03e2e6?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,交通服务,曼谷新火车站,Bangkok New Railway Station,火车站,曼谷,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,火车中转,"去春蓬的火车在此乘车,有卧铺单间,19:50检票上车约6小时到春蓬",从曼谷苏万那普机场坐火车到涛岛的行程,https://www.xiaohongshu.com/explore/6664eaef0000000006006e08?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,交通服务,涛岛码头,Koh Tao Pier,码头与渡轮,涛岛,41,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,潜水/海岛游客,"船票需在Lomprayah官网或淘宝预订,有餐厅和休息区,等船时可喝果汁","【泰国春蓬至龟岛出行全攻略】深度解析，避免
我终于知道为什么涛岛的中国人那么少了","https://www.xiaohongshu.com/explore/66bcc3b80000000005021ecc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66a5c3870000000009016513?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,交通服务,大城府火车站,Ayutthaya Railway Station,火车站,城区中心,72,8,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,所有游客,"曼谷往返枢纽,15-50泰铢,班次密集","泰国🇹🇭大城府民宿推荐-罗望子宾馆
大城府两日游，民宿推荐
202508 泰国大城府必经码头 美味烫嘴早点摊
曼谷大城府一日游极简攻略
#游玩攻略[话题]#
1、游玩交通
曼谷｜坐火车从曼谷去大城府一日游
第一步：出","https://www.xiaohongshu.com/explore/69f7262a000000003502687f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68d16947000000000e021ae7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68a08a6d000000001d00f02b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66c0bea2000000000503b577?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8529280000000028004615?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,交通服务,Ayutthaya Train Station Pier,ท่าเทียบเรือสถานีรถไฟอยุธยา,码头,火车站对面小巷,72,4,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,过河游客,"10泰铢/人摆渡船,2分钟到对岸","泰国🇹🇭大城府民宿推荐-罗望子宾馆
202508 泰国大城府必经码头 美味烫嘴早点摊
曼谷大城府一日游极简攻略
#游玩攻略[话题]#
1、游玩交通
曼谷｜坐火车从曼谷去大城府一日游
第一步：出","https://www.xiaohongshu.com/explore/69f7262a000000003502687f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68a08a6d000000001d00f02b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66c0bea2000000000503b577?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8529280000000028004615?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,交通服务,Chao Phrom Market Pier,Chao Phrom Market Pier,码头,河对岸,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,租车/逛市场,"下船即租车店,近古城核心区",曼谷大城府一日游极简攻略,https://www.xiaohongshu.com/explore/66c0bea2000000000503b577?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,交通服务,Minibus Station,Minibus Station Chatuchak,汽车站,曼谷Mo Chit附近,72,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,曼谷往返,"80泰铢/人,40分钟一班,灵活","从曼谷到大城 正确的打开方式
大城回曼谷必看！一张地图看完立省200🐷","https://www.xiaohongshu.com/explore/6a76b9f500000000260349d3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/697e237b000000000c0368a9?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,交通服务,December house租车行,December house,租车与自驾服务,河对岸,72,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,自行车,"60泰铢/天,老板娘态度好,只收30泰铢钥匙费",推荐阿育陀耶的一家租车行,https://www.xiaohongshu.com/explore/695f35e0000000001a02966c?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,交通服务,Hat Yao Pier,Hat Yao Pier,码头,长滩,42,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,去利邦岛的游客,"长尾船8:00-17:00,40泰铢/单程,30分钟到利邦岛","🇹🇭 泰国董里 | 99%游客不知道的宝藏
一张图看懂董里的岛怎么玩","https://www.xiaohongshu.com/explore/698f1beb000000001a028c27?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67430b4200000000070280a1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,交通服务,Khuan Tung Ku Pier,Khuan Tung Ku Pier,码头,甘当区,42,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,自驾游客,"有停车场,可乘船去穆岛等","🇹🇭 泰国董里 | 99%游客不知道的宝藏
一张图看懂董里的岛怎么玩","https://www.xiaohongshu.com/explore/698f1beb000000001a028c27?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67430b4200000000070280a1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,交通服务,Pak Meng Pier,Pak Meng Pier,码头,市区,42,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,去董里四岛的游客,"有出海旅游公司,可租船去各岛","一张图看懂董里的岛怎么玩
超级适合度假的奈岛⛱️","https://www.xiaohongshu.com/explore/67430b4200000000070280a1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6708b6da000000001a021d67?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,交通服务,呵叻火车站,Nakhon Ratchasima Railway Station,交通节点,呵叻市区,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,公共交通游客,"从曼谷乘火车可到达,转车去披迈石宫",素林出发披迈石宫，值得一去吗？,https://www.xiaohongshu.com/explore/6644752f000000001e033103?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,交通服务,罗勇老汽车站,Rayong Old Bus Terminal,汽车站,紧邻星光夜市,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,本地交通,"站内超多线路双条车,去往班佩码头认准藏蓝色车身,10-40泰铢按距离计费",罗勇｜班佩码头双条车完整版攻略✨（本地人平,https://www.xiaohongshu.com/explore/6a6de6a50000000025016000?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,交通服务,Ao Prao Pier,Ao Prao Pier,私人码头,萨凯酒店专属,75,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,酒店客人,"萨凯酒店集团专属码头,和公共码头班佩离得不远几百米,快艇15分钟到达","沙美岛-萨凯酒店sai kaew beach resort
🇹🇭 试试把沙美岛AoPrao海滩说明白","https://www.xiaohongshu.com/explore/693f4250000000001e034566?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65cf93e4000000002d001ba8?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,交通服务,HinRomPier,欣罗姆码头,长尾船码头,攀牙湾入口,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,跳岛游,2000泰铢包船、皮划艇探洞,攀牙2天纯玩真实体验,https://www.xiaohongshu.com/explore/66e1103e0000000027000e7f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,交通服务,Jian Wanich Pier,建瓦尼奇码头,轮渡码头,返回普吉,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,跨岛交通,150-200泰铢/人、1小时船程,如何去瑶亚岛（Koh Yao yai）也叫大长岛,https://www.xiaohongshu.com/explore/65c841f0000000000c007228?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,交通服务,Laem Hin Pier,莱姆欣码头(皇家码头),轮渡码头,瑶亚岛方向,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,跨岛交通,140-300泰铢/人、1.5小时船程,如何去瑶亚岛（Koh Yao yai）也叫大长岛,https://www.xiaohongshu.com/explore/65c841f0000000000c007228?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,交通服务,Sarasin Bridge,萨拉辛桥,跨海大桥,渔村,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,海鲜餐厅,桥边渔村、Mum Aroi餐厅,攀牙府渔村里的海鲜小餐馆~普吉岛,https://www.xiaohongshu.com/explore/68a9e40d000000001b033b38?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,交通服务,清莱机场,Chiang Rai Airport,机场,市区4.5公里,69,5,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合进出清莱,机场很小、已无机场大巴、需打Grab/Bolt、对面有711,"清迈、清莱之旅——住宿篇
曼谷清莱一日✈️游极限逛白红蓝三庙
到了清莱机场如何最便宜进城？
🇹🇭清莱艾美大促！928💰两人！豪华客房➕双早
泰国🇹🇭 | 泰北美斯乐，深山华人村落","https://www.xiaohongshu.com/explore/66e67972000000000c018696?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/691c7309000000001f004eff?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65f968400000000012032fa7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/660233ae000000000d00d7cc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/5ca4b61d000000000f027912?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,交通服务,瓜镇码头,Kuah Jetty,码头,前往丽贝岛,70,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,B公司航线起点、离机场27分钟、市区方便,强(兰卡威航线主要码头),"泰国小马尔代夫✨兰卡威直达丽贝岛｜上岛攻略
兰卡威前往丽贝岛坐轮渡攻略看这篇！🚢
2026最新｜兰卡威→丽贝岛坐船攻略","https://www.xiaohongshu.com/explore/6a69b66e000000000f031192?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f41b8e000000003502830c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69ac5ea1000000002203852b?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,交通服务,丽贝岛码头,Lipe Pier,码头,丽贝岛,70,4,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,所有上岛游客,快艇停靠点、换乘长尾船上岸、需排队领护照交上岛费,"丽贝岛最全攻略及避坑指南（交通篇）
合艾→丽贝岛｜亲测不踩雷车船联运全攻略
丽贝岛车船联运推荐
丽贝游记👋","https://www.xiaohongshu.com/explore/69ff37f8000000001e00da71?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69feaac6000000002301ce5a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a79383d0000000025004aa4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69ddf2d4000000001b02137a?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
