entityType,entityChineseName,field,fieldChineseName,dataType,constraint,index,optional,description,currentNonEmptyCount,coveragePercent
AdminArea,行政区,geoPrecision,坐标精度,Text,"NotNull,Enum=""exact,approx,none""",Text,,exact=已核验的独立点位，必须有项目统一坐标系及成对 R9/R7 H3，可参与地图与附近排序；approx=中心点、继承点或估算点，只用于范围展示或归属说明，不写 H3、不参与附近排序；none=无直接坐标，坐标、坐标系和 H3 均为空,157,1
AdminArea,行政区,sourceId,来源ID,Text,NotNull,Text,,该实体的主来源，指向 DataSource.id。多源融合时它只代表主源，逐字段的出处见 fieldSources,157,1
AdminArea,行政区,fieldSources,字段级来源,Text,MultiValue,Text,,形如 name:src_amap、summary:src_baike。多源融合后整个实体只标一个主源说不清「名称来自高德、简介来自百科」，出问题时无法定位是哪个源写错的,0,0
AdminArea,行政区,fieldUpdatedAt,字段级更新时间,Text,MultiValue,Text,,形如 ticketPrice:2026-09-10。用于回答「这个票价是什么时候采的」，比实体级 updatedAt 精确,0,0
AdminArea,行政区,batchId,采集批次,Text,,Text,,指向 CollectionBatch.batchId；未登记批次的数据不得入库,157,1
AdminArea,行政区,externalIds,外部标识,Text,"NotNull,MultiValue",Text,,"跨源去重键。形如 amap:B0FFH..., baike:956442。同一对象在多次采集或多来源出现时，必须先按本字段查重命中已有实体再决定新建或更新；不得用名称拼 id 去重 —— 实测同一词条出现在两个采集目录时会产生重复实体",157,1
AdminArea,行政区,lastVerifiedAt,最近核验时间,Text,,Text,,最近一次被人或权威源确认「现在仍然成立」的时间，区别于 lastSeenAt（只说明抓到过）。票价、营业时间挂在实体上，没有本字段就回答不了「这个价核过没有、多久没核了」；与来源的 refreshDays 一起判定该不该重采,0,0
AdminArea,行政区,verifiedBy,核验人或来源,Text,,Text,true,人工复核填工号，权威源自动核验填 DataSource.id,0,0
AdminArea,行政区,dataQuality,数据质量,Text,"NotNull,Enum=""ingestable,needs_review,rejected,archived""",Text,,【共享词表 DataQuality】唯一的对外闸门。置为 ingestable 必须同时满足四条，缺一不可，且四条全部可由本 schema 的字段机器判定，不靠人记规则：① lastVerifiedAt 非空；② 每个对外字段的 fieldSources 指向的 DataSource.publishable=是，百科等不可发布来源写的字段必须先由官方源覆盖或人工确认；③ 该字段有断言级 SourceEvidence（带 field 与 quote），词条级证据不算；④ updatedAt 不晚于 lastVerifiedAt —— 核验之后内容又变过的必须自动退回 needs_review，否则改了价照样对外。needs_review 只进人工队列不对外；archived 为软删除，引用保留但不出现在任何对外查询 —— 删除一个景区平均波及 34 条引用，其中 18 条是 targetId 软引用不在图上，硬删会留下指向空对象的知识,157,1
AdminArea,行政区,contentHash,内容哈希,Text,,Text,,对业务字段与关系一并求哈希；哈希不变时不得推进 updatedAt，否则无法回答「哪些真的变了」。必须把关系算进去 —— 关系是内容不是元数据。漏算会让「第一遍灌实体、第二遍补关系」的分步挂载中，第二遍因指纹未变被判为未变而整个吞掉，图上永远建不起边,157,1
AdminArea,行政区,createdAt,首次入库时间,Text,,Text,,,157,1
AdminArea,行政区,updatedAt,内容更新时间,Text,,Text,,内容变更时刻，不是抓取时刻,157,1
AdminArea,行政区,lastSeenAt,最近抓取时间,Text,,Text,,最近一次抓到本记录的时间。contentHash 未变时只推进本字段、不推进 updatedAt —— 否则重复抓取会把「最近更新」刷屏，人工复核队列也会被无变化的记录淹没,157,1
AdminArea,行政区,referencedBy,被引用数,Integer,,,,指向本实体的硬引用与软引用总数，入库时由灌数器维护。删除或下线前先读本字段判断波及面；为 0 才可安全硬删，否则一律走 dataQuality=archived 软删除,157,1
AdminArea,行政区,archivedAt,归档时间,Text,,Text,,软删除时刻。归档后实体与引用全部保留，仅从对外查询中过滤，证据与历史知识仍可追溯,0,0
AdminArea,行政区,archiveReason,归档原因,Text,,Text,,如「景区永久关闭」「重复实体已合并至 XX」。合并去重时被并方也走归档而非删除，以便回查,0,0
Zone,商圈片区,id,标识,Text,NotNull,Text,,全局唯一稳定标识，独立铸造，不由名称或来源拼接派生 —— 用「名称+章节」拼 id 会在同一对象被多次采集时产生重复实体,171,1
Zone,商圈片区,name,名称,Text,NotNull,TextAndVector,,,171,1
Zone,商圈片区,zoneType,片区类型,Text,"NotNull,Enum=""商圈,历史街区,夜游片区,美食聚集区,交通枢纽片区,大学城,产业新区""",Text,,,171,1
Zone,商圈片区,aliases,别名,Text,MultiValue,TextAndVector,,各平台对本片区的叫法及来源前缀，形如 amap:喷水池、dianping:喷水池/太平路、ctrip:喷水池商圈。实测高德 83 个、点评 132 个、携程 240 个商圈名三者共有 0 个、高德与点评仅重合 18 个 —— 名称对齐不可行，只能按格子重叠做地理对齐，对齐结果记入本字段,171,1
Zone,商圈片区,h3Cells,覆盖网格,Text,MultiValue,Text,true,dominantZone 指向本片区的全部 GeoCell 编码。片区不画边界，「边界」就是这组格子 —— 物化是为了让「花果园有什么吃的」一次取到候选格，而不是每次扫全部网格反查 dominantZone。与 cellCount 必须一致，由重算维护,170,0.9941520467836257
Zone,商圈片区,anchorPoiIds,地标锚点,Text,MultiValue,Text,true,本片区内最具辨识度的几个 POI，用于「花果园在哪」这类问题给出人能理解的定位，也用于同名消歧 —— 只给格子编码等于没回答,170,0.9941520467836257
Zone,商圈片区,cellCount,覆盖格子数,Integer,,,true,dominantZone 指向本片区的 GeoCell 数量，由重算维护。片区不存边界 —— 边界是「哪些格子指向我」的反查结果，改片区定义只需改格子的一个属性，POI 一行不用动,171,1
Zone,商圈片区,shortDesc,一句话摘要,Text,,TextAndVector,,,0,0
Zone,商圈片区,description,描述,Text,,TextAndVector,,,0,0
Zone,商圈片区,locatedInAdminArea,所属行政区,AdminArea,,,,,171,1
Zone,商圈片区,nightActivity,是否夜间活跃,Text,"Enum=""是,否""",Text,,,0,0
Zone,商圈片区,latitude,纬度,Float,,,,,0,0
Zone,商圈片区,longitude,经度,Float,,,,,0,0
Zone,商圈片区,coordinateSystem,坐标系,Text,"Enum=""WGS84,GCJ02,BD09,unknown""",Text,,本实体所存经纬度的坐标系；有坐标时必填。exact 必须等于 City.spatialCoordinateSystem；unknown 不得进入 H3 或附近检索,0,0
Zone,商圈片区,h3Index,空间网格,Text,,Text,,由同一组经纬度通过 h3-py 4.x latlng_to_cell 派生的真实 H3 R9 单元（平均边长约 200.8m），用于 1km 以内的就近检索。用法固定为「算含一圈安全冗余的 k 环 → 批量等值查 → 再算精确距离」：相距 50m 的两个 POI 可能落在不同格，只查同一格会静默漏召回。超过 1km 改用 h3IndexCoarse；按安全环估算，R9 在 5km 约 817 格、10km 约 2791 格。编码必须能通过 is_valid_cell，且分辨率与坐标重算结果一致,0,0
Zone,商圈片区,h3IndexCoarse,粗粒度网格,Text,,Text,true,由同一组经纬度通过 h3-py 4.x latlng_to_cell 派生的真实 H3 R7 单元（平均边长约 1.406km），用于 1km 以上的就近检索。按含一圈安全冗余的 k 环估算，3km、5km、10km 分别查 37、61、127 格；同场景 R9 分别约 331、817、2791 格。检索层按半径选字段并在粗筛后计算精确距离；本字段与 h3Index 必须成对填写并能由坐标重算验证,0,0
Zone,商圈片区,geoPrecision,坐标精度,Text,"NotNull,Enum=""exact,approx,none""",Text,,exact=已核验的独立点位，必须有项目统一坐标系及成对 R9/R7 H3，可参与地图与附近排序；approx=中心点、继承点或估算点，只用于范围展示或归属说明，不写 H3、不参与附近排序；none=无直接坐标，坐标、坐标系和 H3 均为空,171,1
Zone,商圈片区,picture,图片,Text,MultiValue,Text,,,0,0
Zone,商圈片区,pictureDesc,图片说明,Text,MultiValue,TextAndVector,,与 picture 顺序一一对应，供展示与图片检索,0,0
Zone,商圈片区,sourceId,来源ID,Text,NotNull,Text,,该实体的主来源，指向 DataSource.id。多源融合时它只代表主源，逐字段的出处见 fieldSources,171,1
Zone,商圈片区,fieldSources,字段级来源,Text,MultiValue,Text,,形如 name:src_amap、summary:src_baike。多源融合后整个实体只标一个主源说不清「名称来自高德、简介来自百科」，出问题时无法定位是哪个源写错的,0,0
Zone,商圈片区,fieldUpdatedAt,字段级更新时间,Text,MultiValue,Text,,形如 ticketPrice:2026-09-10。用于回答「这个票价是什么时候采的」，比实体级 updatedAt 精确,0,0
Zone,商圈片区,batchId,采集批次,Text,,Text,,指向 CollectionBatch.batchId；未登记批次的数据不得入库,171,1
Zone,商圈片区,externalIds,外部标识,Text,"NotNull,MultiValue",Text,,"跨源去重键。形如 amap:B0FFH..., baike:956442。同一对象在多次采集或多来源出现时，必须先按本字段查重命中已有实体再决定新建或更新；不得用名称拼 id 去重 —— 实测同一词条出现在两个采集目录时会产生重复实体",171,1
Zone,商圈片区,lastVerifiedAt,最近核验时间,Text,,Text,,最近一次被人或权威源确认「现在仍然成立」的时间，区别于 lastSeenAt（只说明抓到过）。票价、营业时间挂在实体上，没有本字段就回答不了「这个价核过没有、多久没核了」；与来源的 refreshDays 一起判定该不该重采,0,0
Zone,商圈片区,verifiedBy,核验人或来源,Text,,Text,true,人工复核填工号，权威源自动核验填 DataSource.id,0,0
Zone,商圈片区,dataQuality,数据质量,Text,"NotNull,Enum=""ingestable,needs_review,rejected,archived""",Text,,【共享词表 DataQuality】唯一的对外闸门。置为 ingestable 必须同时满足四条，缺一不可，且四条全部可由本 schema 的字段机器判定，不靠人记规则：① lastVerifiedAt 非空；② 每个对外字段的 fieldSources 指向的 DataSource.publishable=是，百科等不可发布来源写的字段必须先由官方源覆盖或人工确认；③ 该字段有断言级 SourceEvidence（带 field 与 quote），词条级证据不算；④ updatedAt 不晚于 lastVerifiedAt —— 核验之后内容又变过的必须自动退回 needs_review，否则改了价照样对外。needs_review 只进人工队列不对外；archived 为软删除，引用保留但不出现在任何对外查询 —— 删除一个景区平均波及 34 条引用，其中 18 条是 targetId 软引用不在图上，硬删会留下指向空对象的知识,171,1
Zone,商圈片区,contentHash,内容哈希,Text,,Text,,对业务字段与关系一并求哈希；哈希不变时不得推进 updatedAt，否则无法回答「哪些真的变了」。必须把关系算进去 —— 关系是内容不是元数据。漏算会让「第一遍灌实体、第二遍补关系」的分步挂载中，第二遍因指纹未变被判为未变而整个吞掉，图上永远建不起边,171,1
Zone,商圈片区,createdAt,首次入库时间,Text,,Text,,,171,1
Zone,商圈片区,updatedAt,内容更新时间,Text,,Text,,内容变更时刻，不是抓取时刻,171,1
Zone,商圈片区,lastSeenAt,最近抓取时间,Text,,Text,,最近一次抓到本记录的时间。contentHash 未变时只推进本字段、不推进 updatedAt —— 否则重复抓取会把「最近更新」刷屏，人工复核队列也会被无变化的记录淹没,171,1
Zone,商圈片区,referencedBy,被引用数,Integer,,,,指向本实体的硬引用与软引用总数，入库时由灌数器维护。删除或下线前先读本字段判断波及面；为 0 才可安全硬删，否则一律走 dataQuality=archived 软删除,171,1
Zone,商圈片区,archivedAt,归档时间,Text,,Text,,软删除时刻。归档后实体与引用全部保留，仅从对外查询中过滤，证据与历史知识仍可追溯,0,0
Zone,商圈片区,archiveReason,归档原因,Text,,Text,,如「景区永久关闭」「重复实体已合并至 XX」。合并去重时被并方也走归档而非删除，以便回查,0,0
GeoCell,H3网格,id,标识,Text,NotNull,Text,,直接采用 H3 单元编码本身（如 8841a4b2c1fffff），天然全局唯一，且可由任一落格坐标重算验证，不需要另铸 ID。 本实体不设 coordinateSystem 字段：网格一律建在 City.spatialCoordinateSystem 上（当前 GCJ02），坐标系未知的点按 geoPrecision 规则本就不许落格，逐格再存一份坐标系只会给漂移留口子,13011,1
GeoCell,H3网格,h3Resolution,分辨率,Integer,NotNull,,,取值 8 或 7。R8 为主层，每个 R8 格另有一个 R7 父格实体，两层同表存放，靠本字段区分；parentCell 是实体引用即图上的边，没有 R7 实体就是悬空引用。POI 侧的 h3Index 是 R9，入库时由 cell_to_parent 上卷一级挂到本格。R8 兼顾步行尺度的空间归属与稳定的密度统计，R7 负责大半径粗筛；具体格数与密度分布属于每个构建批次的审计结果，不写死在 Schema 中,13011,1
GeoCell,H3网格,centerLatitude,中心纬度,Float,,,,由 cell_to_latlng 派生，仅用于地图展示与粗略距离估算；精确距离一律用 POI 自身坐标算，不得用格子中心代替,13011,1
GeoCell,H3网格,centerLongitude,中心经度,Float,,,,,13011,1
GeoCell,H3网格,parentCell,粗粒度父格,GeoCell,,,true,R7 父格，用于 1km 以上的大半径粗筛。H3 天然分层，本字段可由 id 计算，物化是为了让「先粗筛再细查」在图上走边而不是算函数,11297,0.8682653139651064
GeoCell,H3网格,locatedInAdminArea,所属行政区,AdminArea,NotNull,,,判定优先用核验过的行政区边界转出的 AdminArea.boundaryH3Cells 做等值匹配；边界缺失时才退化为格内 POI 的 district 众数。边界来源、快照日期和授权范围必须由 SourceEvidence/DataSource 追溯，不能把地图厂商边界直接称为官方边界,13011,1
GeoCell,H3网格,adminAmbiguous,跨界格子,Text,"NotNull,Enum=""是,否""",Text,,为是表示本格可能跨越行政区界。判定不靠邻格猜测，而是拿格内 POI 自带的 district 与格心边界归属交叉核验；每批次的跨界格数、受影响 POI 数与纯度分布写入审计报告，不写死在 Schema 中。跨界格不得用于分区统计，分区汇总必须按 POI 逐条计,13011,1
GeoCell,H3网格,adminPurity,行政区纯度,Float,,,,格内 POI 中 district 与本格行政区一致的比例。为空表示格内无自带行政区的 POI，无法核验。低于 1 即跨界,6349,0.48797171624010455
GeoCell,H3网格,adminPoiMix,格内POI行政区构成,Text,MultiValue,Text,,形如 南明区:45、云岩区:12。让跨界的具体程度可见，而不是只给一个是否标记,6349,0.48797171624010455
GeoCell,H3网格,adminEvidence,行政区判定依据,Text,,Text,true,一句话说明本格行政区怎么定的、核验结果如何。回答「为什么这格算这个区」,13011,1
GeoCell,H3网格,adminAssignMethod,行政区判定方式,Text,"NotNull,Enum=""边界匹配,POI众数,人工确认""",Text,,边界匹配=格心落在已核验来源的 polyline 转出的多边形内。注意这是格心判定，一个格子在构造上只可能属于一个区——不能据此宣称「没有跨界格」，跨界与否须另用格内 POI 的 district 核验，见 adminPurity；POI众数=边界未就绪时的退化方案；人工确认=复核过,13011,1
GeoCell,H3网格,township,所属街道乡镇,Text,,Text,true,"格中心逆地理编码返回的街道乡镇名。区县级可由边界判定，街镇级因地图厂商不提供边界，只能对格中心点做逆地理编码取得；因此可信度低于区县级。 取值不以格内有无 POI 为条件 —— 荒地格同样能取到，实测成功率 99.92%。 两类格子取不到：一是逆地理编码返回空（极少，实测 1,312 格中 1 格）；二是格中心经逆地理编码确认落在贵阳市外的边界格（实测 423 格，散落龙里、平坝、播州、黔西等 38 个外市乡镇），这类【必须留空】—— 写进去等于把外地乡镇塞进贵阳的街镇名单。成因是行政区边界取自地图厂商的简化 polyline，H3 格心判定在边界带会越界。 因此全域街镇覆盖的理论上限是 96.2% 而非 100%。该名称必须经 townshipRegistryStatus 与官方名单核对；厂商旧称或全称差异保留原文，并通过 townshipId 映射到官方规范实体，不静默改写来源值",4451,0.34209515025747445
GeoCell,H3网格,townshipId,街镇实体,AdminArea,,,true,指向 level=街道乡镇 的 AdminArea 实体。有名称还要有实体引用，才能反查「这个街道有哪些格子」,4451,0.34209515025747445
GeoCell,H3网格,townshipAdcode,街镇区划代码,Text,,Text,true,12 位统计用区划代码，前 6 位须等于所属区县的 adminCode,4451,0.34209515025747445
GeoCell,H3网格,townshipSource,街镇来源,Text,,Text,true,形如 amap_regeo@2026-09-15。街镇值来自哪次调用、何时取的，区划调整后据此判断是否需要重取,4451,0.34209515025747445
GeoCell,H3网格,townshipRegistryStatus,街镇在册状态,Text,"Enum=""官方名单在册,来源别名已映射,高德注册表在册(官方未核对),不在册,未取得""",Text,true,该街镇名是否在官方区划名单中。来源别名已映射表示来源名称本身不在册，但已有公开证据可无歧义映射到 townshipId 指向的官方规范名；不在册且未映射的可能是地图厂商旧名或非街道级单位，不得当作官方区划,11297,0.8682653139651064
GeoCell,H3网格,townshipLagRisk,街镇口径待核,Text,"Enum=""是,否""",Text,true,为是表示本格的商圈叫法指向某个已登记但地图厂商边界尚未切分出来的街道。实测南明区花果园街道已在官方名单，但逆地理编码仍把该地块判给切分前的后巢乡。区县级不受影响，乡级须人工核定,11297,0.8682653139651064
GeoCell,H3网格,townshipCandidate,街镇候选,Text,MultiValue,Text,true,口径待核时的候选街道名，供人工核定时参考。不得据此自动改写 township —— 没有边界就没有依据,83,0.0063792175851202825
GeoCell,H3网格,poiSourceMix,POI来源构成,Text,MultiValue,Text,,"形如 amap:1200、kg:45。格内 POI 各来自哪个源、各多少个。跨源合并时同一对象可能出现两次，实测高德底图与图谱按 amapPoiId 重叠达 22,021 个，本字段让去重结果可核对",2701,0.20759357466758896
GeoCell,H3网格,dominantZone,主导片区,Zone,,,true,格内 POI 商圈标签的众数，占比需达 60%。达不到或无标签时必须留空 —— 留空表示「这一带没有公认的片区名」，回答时降级为行政区级说法，不得强行安一个片区,2409,0.18515102605487666
GeoCell,H3网格,zoneNameSeen,主导片区名称,Text,,Text,true,dominantZone 指向的 Zone 实体名称的冗余副本。dominantZone 是实体引用，图上是边；展示与日志里直接读名称可省一次跳转，但改片区名时必须同步 —— 以 Zone.name 为准，本字段只是缓存,2409,0.18515102605487666
GeoCell,H3网格,zoneConfidence,片区置信度,Float,,,,POI标签众数取真实众数占比；格中心逆地理编码固定 0.85；由邻格传播推定的按传播距离衰减。不同证据等级不得混用，具体留出验证准确率属于构建批次审计指标，不写死在 Schema 中,2409,0.18515102605487666
GeoCell,H3网格,zoneAssignMethod,片区判定方式,Text,"NotNull,Enum=""POI标签众数,逆地理编码,邻格传播,人工确认,未判定""",Text,,POI标签众数=格内 POI 自带的 business_area 字段众数，占比需达 60%，置信度即实际占比，证据最强；逆地理编码=格内无众数时退而拿格中心点问 regeo，只代表中心点所属商圈不代表整格，置信固定 0.85；邻格传播=前两者都没有时由 3 环内同行政区的已标注格推出，留出验证准确率仅 66%，只可用于召回兜底不得用于统计；人工确认=复核过；未判定=以上都不成立，必须留空。 不可把前两者合称「平台标注」—— 置信 1.0 的众数与置信 0.85 的中心点猜测证据强度相差很远，混成一个标签下游就分不清,13011,1
GeoCell,H3网格,zoneEvidence,片区判定依据,Text,,Text,true,一句话说明本格的片区是怎么得出的，含参与判定的叫法数量与占比。回答「为什么这格算这个商圈」，出错时可直接定位是哪一级判据失准,1246,0.09576512181999847
