问题ID,优先级,主题,区域,信息目标,问题,交叉验证次数,备注,问题来源
GYTRAVEL-HV-20260916-0037,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“麦当劳(大南门餐厅)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：麦当劳(大南门餐厅)；业务类型为餐饮美食；行政区为南明区；参考地址为富水南路251号恒丰一品一层1E号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“麦当劳(大南门餐厅)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_958d4005-db2a-40cf-858a-28b2df550991；score=88.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0038,P0,餐饮美食-标准POI精确证据核实,花溪区,核实标准实体“城南状元食府”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：城南状元食府；业务类型为餐饮美食；行政区为花溪区；参考地址为青岩古镇南门塘上街2号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：花溪区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“城南状元食府”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_007de76c-1030-47f9-8059-a9e929a492fa；score=88.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0039,P0,餐饮美食-标准POI精确证据核实,花溪区,核实标准实体“柏拉图西餐厅(花溪店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：柏拉图西餐厅(花溪店)；业务类型为餐饮美食；行政区为花溪区；参考地址为园亭路9号(花溪公园地铁站D口步行300米)。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：花溪区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“柏拉图西餐厅(花溪店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_8e716e5c-a211-4a2b-8eee-2b18fb02e6e6；score=88.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0040,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“江边渔村(小十字总店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：江边渔村(小十字总店)；业务类型为餐饮美食；行政区为云岩区；参考地址为中山东路58号2楼。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“江边渔村(小十字总店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_0852724a-75ae-447c-b21e-e8cbf63e176b；score=87.8；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0041,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“虎岚和牛寿喜烧日料自助”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：虎岚和牛寿喜烧日料自助；业务类型为餐饮美食；行政区为云岩区；参考地址为勇烈路泰联大厦B座负一楼。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“虎岚和牛寿喜烧日料自助”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_60d891e1-975d-491f-a1a3-2a3f93cf8aae；score=87.8；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0042,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“川心美蛙鱼头火锅(护国路店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：川心美蛙鱼头火锅(护国路店)；业务类型为餐饮美食；行政区为南明区；参考地址为尚武小区西南门北80米。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“川心美蛙鱼头火锅(护国路店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_f3336565-46c9-41a7-bec9-13f19e672cb2；score=87.8；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0043,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“灌木咖啡(万象城店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：灌木咖啡(万象城店)；业务类型为餐饮美食；行政区为南明区；参考地址为遵义路328号贵阳万象城L277。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“灌木咖啡(万象城店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_e71a88b5-4ba6-42b4-9174-6635cd0a3115；score=87.6；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0044,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“黔小豆豆米豆豉酸汤火锅”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：黔小豆豆米豆豉酸汤火锅；业务类型为餐饮美食；行政区为南明区；参考地址为兴隆西巷146号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“黔小豆豆米豆豉酸汤火锅”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_f874c4f6-0494-40aa-ad47-1b417eeaf3fe；score=87.6；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0045,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“喜多·漫食界·宴会厅”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：喜多·漫食界·宴会厅；业务类型为餐饮美食；行政区为南明区；参考地址为文化路98号(实验中学对面)。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“喜多·漫食界·宴会厅”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_b241007b-c285-4f15-a932-47ffeabe6d75；score=87.4；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0046,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“一烙锅(友谊店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：一烙锅(友谊店)；业务类型为餐饮美食；行政区为云岩区；参考地址为友谊路89号(阿一鲍鱼斜对面)。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“一烙锅(友谊店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_1d759efd-43ad-49e9-a003-0dd9f2f19939；score=87.25；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0047,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“大胖刘烙锅(煤矿村全国总店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：大胖刘烙锅(煤矿村全国总店)；业务类型为餐饮美食；行政区为云岩区；参考地址为云岩区政府旭东小区西门南60米。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“大胖刘烙锅(煤矿村全国总店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_f8b2841e-b6a2-4387-96bf-9464ce7e65b5；score=87.25；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0048,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“去茶山(贵阳万象城店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：去茶山(贵阳万象城店)；业务类型为餐饮美食；行政区为南明区；参考地址为遵义路328号贵阳万象城L218号2层。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“去茶山(贵阳万象城店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_4b81d0b1-5d56-44ee-a11b-1dfd1196177c；score=87.2；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0049,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“他先生豆米豆豉酸辣烫(恒丰步行街店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：他先生豆米豆豉酸辣烫(恒丰步行街店)；业务类型为餐饮美食；行政区为云岩区；参考地址为恒峰步行街1层-D25号门面(停车场入口前行20米)。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“他先生豆米豆豉酸辣烫(恒丰步行街店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_e73e12a0-7c7c-4794-a69a-5c35fa3f2fbc；score=87.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0050,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“侗家食府(北京路店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：侗家食府(北京路店)；业务类型为餐饮美食；行政区为云岩区；参考地址为北京路242号二层(黔灵山公园地铁站C口步行450米)。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“侗家食府(北京路店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_b689720a-c251-428a-b97a-952eeb9f6375；score=87.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0051,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“土家风味豆米火锅·干锅剔骨鸡(黔灵山公园店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：土家风味豆米火锅·干锅剔骨鸡(黔灵山公园店)；业务类型为餐饮美食；行政区为云岩区；参考地址为北京路260号万科公园5号3层野福林炭火鸡宗煲3层28号扶手电梯左边。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“土家风味豆米火锅·干锅剔骨鸡(黔灵山公园店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_ca2c0a4a-24da-4434-8438-0fc34df0e8f8；score=87.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0052,P0,餐饮美食-标准POI精确证据核实,云岩区,核实标准实体“拐角楼食府”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：拐角楼食府；业务类型为餐饮美食；行政区为云岩区；参考地址为文昌阁街道东新路70号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：云岩区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“拐角楼食府”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_299bf1ef-60d8-4159-a7d1-ae359b74aba2；score=87.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
