候选ID,问题ID,采集轮次,来源阶段,行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,游客需求场景,AI证据强度,POI细分类型证据,地理位置描述证据,游客需求场景证据,字段证据审核状态,名称直接命中帖子数（非热度）,证据帖子ID,证据标题,证据URL,固定实体初筛,分店消歧状态,审核结论,合并主候选ID,审核备注,原始回答行
POICAND-081FD825D0359886,GYTRAVEL-S4-F005,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,丁家糯米饭（市府路口）,丁家糯米饭,糯米饭,市府路口KFC旁,游客早餐、可捏饭团外带,中,,,,,2,"6a9122fc000000000b024f7b
6a915607000000001803d39e","贵阳早餐糯米饭封神
🥔贵阳狂炫六天日记","https://www.xiaohongshu.com/explore/6a9122fc000000000b024f7b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a915607000000001803d39e?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,丁家糯米饭（市府路口）｜丁家糯米饭｜餐饮美食｜糯米饭｜云岩区｜市府路口KFC旁｜游客早餐、可捏饭团外带｜中
POICAND-9BB0AB49A4FD4817,GYTRAVEL-S4-F010,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,丁家脆哨,未确认,脆哨卤味小吃,民生路,游客买伴手礼、空口当零嘴,中高（N2、N5、N67）。,,,,,4,"6a1055bc000000000803d1a7
6a6994cc000000001c00cbfd
6a770e2700000000350167d9
6aa5740d000000002502fb11","贵阳民生路美食街｜老贵阳烟火，一站式吃遍
听劝！贵阳民生路才是小吃天花板🔥
民生路｜几百米吃遍老贵阳烟火气🥔
J人总结😋吃过的贵阳好饭（合集）","https://www.xiaohongshu.com/explore/6a1055bc000000000803d1a7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6994cc000000001c00cbfd?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a770e2700000000350167d9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa5740d000000002502fb11?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,丁家脆哨｜未确认｜餐饮美食｜脆哨卤味小吃｜云岩区｜民生路｜游客买伴手礼、空口当零嘴｜中高（N2、N5、N67）。
POICAND-F687C2E26E13A807,GYTRAVEL-S4-F010,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,三三铁板烧,未确认,铁板烧,喷水池,游客吃铁板烧正餐,中（N24、N12）。,,,,,2,"69045f55000000000301d815
6aa5740d000000002502fb11","贵阳的喷水池真好看，下次不来了。
J人总结😋吃过的贵阳好饭（合集）","https://www.xiaohongshu.com/explore/69045f55000000000301d815?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa5740d000000002502fb11?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,三三铁板烧｜未确认｜餐饮美食｜铁板烧｜云岩区｜喷水池｜游客吃铁板烧正餐｜中（N24、N12）。
POICAND-22AEEF12CDC801CC,GYTRAVEL-S4-F010,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,三只小黄鸭火锅,未确认,酸汤火锅,民生路,游客吃米糟酸汤、涮和牛海鲜,中（N7、N12，含营销风险）。,,,,,1,6aa5740d000000002502fb11,J人总结😋吃过的贵阳好饭（合集）,https://www.xiaohongshu.com/explore/6aa5740d000000002502fb11?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,三只小黄鸭火锅｜未确认｜餐饮美食｜酸汤火锅｜云岩区｜民生路｜游客吃米糟酸汤、涮和牛海鲜｜中（N7、N12，含营销风险）。
POICAND-8B637385BAF529F5,GYTRAVEL-S4-F019,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,丘时（大十字店）,丘时 CHIUS,蛋糕面包店,大十字智诚潮流汇,南法复古风、满店鲜花，蛋糕面包颜值高出片,中（N45独立笔记；N79/N81/N82为官方营销号，需甄别）,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,丘时（大十字店）｜丘时 CHIUS｜餐饮美食｜蛋糕面包店｜云岩区｜大十字智诚潮流汇｜南法复古风、满店鲜花，蛋糕面包颜值高出片｜中（N45独立笔记；N79/N81/N82为官方营销号，需甄别）
POICAND-4F23BCFA70EB8FAD,GYTRAVEL-S4-F019,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,东来咖啡馆,东来咖啡,咖啡馆,东山寺下栖霞路,老城区小门面，楼顶可拍电视塔，装潢简陋但位置独特,中（N14，2025-12）,,,,,1,6933e96d000000001e036647,贵阳｜东来咖啡馆☕️,https://www.xiaohongshu.com/explore/6933e96d000000001e036647?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,东来咖啡馆｜东来咖啡｜餐饮美食｜咖啡馆｜云岩区｜东山寺下栖霞路｜老城区小门面，楼顶可拍电视塔，装潢简陋但位置独特｜中（N14，2025-12）
POICAND-704F3D3C36813956,GYTRAVEL-S4-F015,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,丝恋丝娃娃（国贸大厦店）,Si Lian,丝娃娃/贵州小吃,国贸大厦7楼,游客尝鲜丝娃娃、配菜免费续,中（N17/N25）,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,丝恋丝娃娃（国贸大厦店）｜Si Lian｜餐饮美食｜丝娃娃/贵州小吃｜云岩区｜国贸大厦7楼｜游客尝鲜丝娃娃、配菜免费续｜中（N17/N25）
POICAND-AF00B8E4910A3344,GYTRAVEL-S4-F015,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,丝恋丝娃娃（汇金店）,Si Lian,丝娃娃/贵州小吃,汇金购物中心,游客按攻略到店、评价酸汤偏淡,弱（N24）,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,丝恋丝娃娃（汇金店）｜Si Lian｜餐饮美食｜丝娃娃/贵州小吃｜云岩区｜汇金购物中心｜游客按攻略到店、评价酸汤偏淡｜弱（N24）
POICAND-316774C841A9065B,GYTRAVEL-S4-F019,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,久涧食味,久涧食味,庭院中餐厅,黔灵山体育公园内,白墙灰瓦中式庭院、竹林卡座、包间带小院，竹荪土鸡火锅、织金烙锅,中（N21，2025-10）,,,,,1,68ebd3a3000000000503b4ea,贵阳宝藏庭院餐厅｜公园里边吃边玩一整天,https://www.xiaohongshu.com/explore/68ebd3a3000000000503b4ea?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,久涧食味｜久涧食味｜餐饮美食｜庭院中餐厅｜云岩区｜黔灵山体育公园内｜白墙灰瓦中式庭院、竹林卡座、包间带小院，竹荪土鸡火锅、织金烙锅｜中（N21，2025-10）
POICAND-A4E101A5117B0696,GYTRAVEL-S4-F010,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,乔治队长咖啡,未确认,精品咖啡,文昌阁／石板坡,游客喝冠军咖啡消食,中（N30、N33、N60）。,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,乔治队长咖啡｜未确认｜餐饮美食｜精品咖啡｜云岩区｜文昌阁／石板坡｜游客喝冠军咖啡消食｜中（N30、N33、N60）。
POICAND-3EE4A8C2EE1D5792,GYTRAVEL-S4-F007,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,交通街糕粑稀饭,未确认,糕粑稀饭,交通街入口,游客尝糕粑稀饭,弱（N32）,,,,,1,69be538000000000230178bb,恒峰步行街！十家本地人从小吃到大的老店！,https://www.xiaohongshu.com/explore/69be538000000000230178bb?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,交通街糕粑稀饭｜未确认｜餐饮美食｜糕粑稀饭｜云岩区｜交通街入口｜游客尝糕粑稀饭｜弱（N32）
POICAND-A5F83BAFEF19D527,GYTRAVEL-S4-F010,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,但家香酥鸭,未确认,卤味炸鸭小吃,民生路好吃街,游客逛吃民生路现买现吃、伴手礼,高（6篇游客笔记：N1、N2、N5、N9、N13、N67）。,,,,,9,"6904b9330000000003022a4c
6a1055bc000000000803d1a7
6a6994cc000000001c00cbfd
6a770e2700000000350167d9
6a93a1ef0000000008012ca4
6a96edad000000002803932a
6a9fb710000000001001ca2c
6aa5442d000000002902e45d
6aa5740d000000002502fb11","民生路&青云市集避坑精华帖！带上512G的胃
贵阳民生路美食街｜老贵阳烟火，一站式吃遍
听劝！贵阳民生路才是小吃天花板🔥
民生路｜几百米吃遍老贵阳烟火气🥔
📸漫游老城烟火巷🍢邂逅贵阳民生路，百年老街盛满黔城烟火，把老贵阳的市井滋味尽
贵阳小吃这个吃啊
贵阳第一站🚄民生路好吃街！
贵阳｜在洋芋国爽吃48h
J人总结😋吃过的贵阳好饭（合集）","https://www.xiaohongshu.com/explore/6904b9330000000003022a4c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a1055bc000000000803d1a7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6994cc000000001c00cbfd?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a770e2700000000350167d9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a93a1ef0000000008012ca4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a96edad000000002803932a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9fb710000000001001ca2c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa5442d000000002902e45d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa5740d000000002502fb11?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,但家香酥鸭｜未确认｜餐饮美食｜卤味炸鸭小吃｜云岩区｜民生路好吃街｜游客逛吃民生路现买现吃、伴手礼｜高（6篇游客笔记：N1、N2、N5、N9、N13、N67）。
POICAND-B83BC4F319512D93,GYTRAVEL-S4-F001,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,但家香酥鸭,Danjia Xiangsuya,香酥鸭,民生路,游客现买现吃伴手礼,证据强度：中（N10/N33/N36/N38）,,,,,4,"6a1004f90000000006031585
6a770e2700000000350167d9
6a9fb710000000001001ca2c
6aa5740d000000002502fb11","贵阳🏯四天三晚｜10顿不踩雷美食出游总结！
民生路｜几百米吃遍老贵阳烟火气🥔
贵阳第一站🚄民生路好吃街！
J人总结😋吃过的贵阳好饭（合集）","https://www.xiaohongshu.com/explore/6a1004f90000000006031585?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a770e2700000000350167d9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9fb710000000001001ca2c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa5740d000000002502fb11?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,但家香酥鸭｜Danjia Xiangsuya｜餐饮美食｜香酥鸭｜云岩区｜民生路｜游客现买现吃伴手礼｜证据强度：中（N10/N33/N36/N38）
POICAND-2109A9E99A8BF04E,GYTRAVEL-S4-F015,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,但家香酥鸭（小十字店）,Dan Jia,香酥鸭,小十字,游客买半只香酥鸭,弱（N65，2025-07，36个月内）,,,,,1,68770e54000000000d0182ae,在贵阳吃到的不好吃的东西（个人）,https://www.xiaohongshu.com/explore/68770e54000000000d0182ae?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,但家香酥鸭（小十字店）｜Dan Jia｜餐饮美食｜香酥鸭｜云岩区｜小十字｜游客买半只香酥鸭｜弱（N65，2025-07，36个月内）
POICAND-70E391333182A50B,GYTRAVEL-S4-F003,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,但家香酥鸭（民生路店）,但家香酥鸭（民生路店）,香酥鸭·贵州非遗小吃,民生路美食街（近小十字）,游客逛民生路必打卡、现炸伴手礼采购,强（多篇游客到店笔记）,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,但家香酥鸭（民生路店）｜但家香酥鸭（民生路店）｜餐饮美食｜香酥鸭·贵州非遗小吃｜云岩区｜民生路美食街（近小十字）｜游客逛民生路必打卡、现炸伴手礼采购｜强（多篇游客到店笔记）
POICAND-9DF65CBD31015C41,GYTRAVEL-S4-F015,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,但家香酥鸭（民生路店）,Dan Jia,香酥鸭/卤味炸货,民生路好吃街街口,游客排队买香酥鸭、伴手礼,强（N63/N68/N70/N75）,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,但家香酥鸭（民生路店）｜Dan Jia｜餐饮美食｜香酥鸭/卤味炸货｜云岩区｜民生路好吃街街口｜游客排队买香酥鸭、伴手礼｜强（N63/N68/N70/N75）
POICAND-466543945CFBE409,GYTRAVEL-S4-F010,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,何姨妈豆豉火锅,未确认,豆豉火锅,黔灵山南门鲤鱼街,游客出园后吃豆豉火锅,低（仅N48本地推荐，缺游客原帖）。,,,,,1,6a6ed267000000003301309d,黔灵山公园附近贵阳本地人常吃的美食推荐,https://www.xiaohongshu.com/explore/6a6ed267000000003301309d?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,何姨妈豆豉火锅｜未确认｜餐饮美食｜豆豉火锅｜云岩区｜黔灵山南门鲤鱼街｜游客出园后吃豆豉火锅｜低（仅N48本地推荐，缺游客原帖）。
