行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
北碧府,景点观光,Sai Yok Noi瀑布,Sai Yok Noi Waterfall น้ําตกไทรโยคน้อย,瀑布,Nam Tok站附近,27,3,疑似已存在,THXHSFINAL-1456:赛约克诺伊瀑布,固定实体候选,合并既有记录，不新增,深度游游客,免费开放可下水游泳、雨季水量壮观,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
北碧府二日一晚攻略🇹🇭
北碧府隐藏仙境！Sai Yok国家公园必打卡","https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a39115d000000000f016a23?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6837cb44000000000f038ae6?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,休闲娱乐,北碧府野生动物园,safari park kanchanaburi,亲子乐园与动物体验,曼谷车程约3小时,27,2,疑似已存在,THXHSFULL-0359:北碧府野生动物园,固定实体候选,合并既有记录，不新增,亲子游客,近距离接触野生动物、喂长颈鹿小老虎小狮子、需提前预约,"🌿【北碧府：泰国的隐世治愈系秘境】🌿
曼谷出发🚗2.5h 打卡这座小众宝藏小城","https://www.xiaohongshu.com/explore/68b961df000000001b021544?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65aa6faa000000002d030535?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,Suan Sai Yok Resort,Suan Sai Yok Resort สวนไทรโยค รีสอร์ท,河景度假村,死亡铁路旁,27,1,疑似已存在,THXHSFINAL-1452:赛约克度假村,固定实体候选,合并既有记录，不新增,摄影/火车爱好者,出门即死亡铁路、步行到甲赛洞、火车与河景同框,花200泰铢，坐上泰国最美铁路！,https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,The Float House水上漂浮酒店,The Float House River Kwai,漂浮度假村,桂河上,27,1,疑似已存在,THXHSFINAL-1451:桂河漂浮屋度假村,固定实体候选,合并既有记录，不新增,体验型游客,需乘船入住、含孟族表演/药草球按摩/河畔晚餐,北碧府tips,https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,康养SPA,Health Station 2 Traditional Massage,Health Station 2 traditional massage,按摩店,市区,41,1,疑似已存在,THXHSFINAL-1372:Head Feel Good,固定实体候选,合并既有记录，不新增,按摩,"500泰铢/2小时,体验差按摩师力度不够且不专注",🇹🇭小众旅行地➡️春蓬，榴莲爱好者速来,https://www.xiaohongshu.com/explore/683b202d000000002102cc1b?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,餐饮美食,巴莱船面,Pa Lek Boat Noodle,面食与小吃,玛哈泰寺对面,72,9,疑似已存在,THXHSFINAL-1314:巴莱船面,固定实体候选,合并既有记录，不新增,美食打卡,"米其林船面,20泰铢/碗,分量小需多吃","大城府两日游，民宿推荐
大城府谁说没必要住宿！
🇹🇭大城府攻略｜中国人独有的打卡方式
#游玩攻略[话题]#
1、游玩交通
曼谷｜坐火车从曼谷去大城府一日游
第一步：出
曼谷往返大城一日游","https://www.xiaohongshu.com/explore/68d16947000000000e021ae7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/694e62e7000000001e034758?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68c2522a000000001c00a40e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8529280000000028004615?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a80750b0000000005033cd0?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,餐饮美食,Café Ayuthaya Ayothaya cafe,Café Ayuthaya Ayothaya cafe อโยธยาคาเฟ่,咖啡馆,Phai Ling,72,1,疑似已存在,THXHSFULL-0436:MongChang Cafe,固定实体候选,合并既有记录，不新增,大象互动,"大象咖啡店,250泰铢set含合影",大城府🇹🇭泰星同款大象咖啡店‼️,https://www.xiaohongshu.com/explore/691c91c8000000001e02af44?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,餐饮美食,Chirp Cafe and Chat Space,Chirp Cafe,咖啡馆,火车站至玛哈泰寺路上,72,1,疑似已存在,THXHSFINAL-1532:Chirp Cafe and Chat Space,固定实体候选,合并既有记录，不新增,抹茶爱好者,"日式庭院风,抹茶冰淇淋/饮品优秀",泰国大城府打卡推荐 EP.2,https://www.xiaohongshu.com/explore/69bd3a110000000023022cd8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,餐饮美食,Brown Cabin,Brown Cabin,咖啡店,主街往码头穿过码头后,75,1,疑似已存在,THXHSFINAL-1722:Brown Cabin Chocolate Cafe,固定实体候选,合并既有记录，不新增,咖啡/拍照,"咖啡店漂亮比较小,冰美式不错,巧克力饮品太甜",🇹🇭沙美岛美食总结,https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,餐饮美食,Kang Ban Phe Noodles & Seafood Bar,Kang Ban Phe Noodles & Seafood Bar,酒吧与餐吧,班佩,75,3,疑似已存在,THXHSFINAL-1445:Kang Ban Phe Noodles & Seafood Bar,固定实体候选,合并既有记录，不新增,所有游客,"皮皮虾冬阴功面必吃,皮皮虾剥好去壳、膏满肉大,人均43元","沙美岛班佩码头必吃美食🦐
🇹🇭沙美岛美食总结
沙美岛码头好吃到飞起的皮皮虾面！探店成功","https://www.xiaohongshu.com/explore/6874b165000000002400db8e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/689ca12d000000001d036b5f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,餐饮美食,Tamnanpar Resort,Tamnanpar Resort,雨林主题餐厅,骑车15分钟,75,1,疑似已存在,THXHSFINAL-1721:Tamnanpar Resort 绿光森林生态餐厅,固定实体候选,合并既有记录，不新增,拍照/环境党,"热带雨林环境,溪流瀑布藤蔓,连续6年米其林,口味层次丰富",罗勇府雨林餐厅，品盘中的亚马逊，杯中的瀑布,https://www.xiaohongshu.com/explore/6a7355af0000000022030454?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,交通服务,班佩码头,Ban Phe Pier,官方码头,去沙美岛,75,22,疑似已存在,THXHSFINAL-1348:班佩码头(Ban Phe Pier),固定实体候选,合并既有记录，不新增,所有游客,"大船往返120铢/人40分钟,单程70铢,上岛费200铢/人,认准官方码头别被司机带去私人码头","Staycation，泰国罗勇府班佩码头住到不想走
泰国罗勇Rayong遛娃推荐，比芭提雅人少景美
🇹🇭罗勇府的一天
沙美岛班佩码头必吃美食🦐
🇹🇭沙美岛美食总结","https://www.xiaohongshu.com/explore/6a71f006000000000502b174?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a292230000000022023a7c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66f8c9df000000001b0231ab?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6874b165000000002400db8e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,交通服务,Nuanthip Pier,Nuanthip Pier,官方码头,去沙美岛,75,22,疑似已存在,THXHSFINAL-1348:班佩码头(Ban Phe Pier),固定实体候选,合并既有记录，不新增,所有游客,"从干货市场进去的码头,沙美岛回曼谷大巴票也在这里买,对面有711和Amazon咖啡店","Staycation，泰国罗勇府班佩码头住到不想走
泰国罗勇Rayong遛娃推荐，比芭提雅人少景美
🇹🇭罗勇府的一天
沙美岛班佩码头必吃美食🦐
🇹🇭沙美岛美食总结","https://www.xiaohongshu.com/explore/6a71f006000000000502b174?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a292230000000022023a7c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66f8c9df000000001b0231ab?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6874b165000000002400db8e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,Let's Relax,Let's Relax,连锁按摩,主街旁警局往前走,75,1,疑似已存在,THXHSFINAL-1308:Let's Relax(Central World店)；THXHSFINAL-1309:Let's Relax(Ratchadamri店)；THXHSFINAL-1310:Let's Relax(Siam Square店)；THXHSFINAL-1311:唐人街店)；THXHSFULL-0117:Let's Relax Spa（芭东）,固定实体候选,合并既有记录，不新增,手法好,"泰式按摩1小时300铢,技师很给力按到唉唉叫,环境不行手法棒",沙美島的Let’s Relax 服務與技術首選,https://www.xiaohongshu.com/explore/6a957805000000002303f434?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,罗勇假日酒店及套房,Holiday Inn & Suites Rayong City Centre,城市酒店,Sukhumvit路,75,4,疑似已存在,THXHSFULL-0189:Holiday Inn（奥南原帖简称）,固定实体候选,合并既有记录，不新增,商务/城市游,"30层楼、隔音好,边上有Passione商场","泰兰德酒店分享来啦
罗勇酒店推荐 ⭐️Holiday Inn & Suites
罗勇府马杀鸡店推荐
罗勇按摩推荐thai house massage","https://www.xiaohongshu.com/explore/681adbed0000000020029b68?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/678b0d480000000019018435?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68fc110f000000000301b674?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,诺富特星星会议中心酒店,Novotel Stars Convention Hotel,商务酒店,市中心,75,2,疑似已存在,THXHSFINAL-0773:芭提雅诺富特酒店,固定实体候选,合并既有记录，不新增,商务/过渡,"设施新、地理位置好,正门右边是星星夜市","罗勇市区（中心）
泰兰德D1罗勇府～","https://www.xiaohongshu.com/explore/698d2f84000000001600b089?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66a4a4a7000000000600ff24?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
洛坤府,景点观光,Wat Phra Mahathat Woramahawihan,วัดพระมหาธาตุวรมหาวิหาร,寺庙,洛坤市区,29,2,疑似已存在,THXHSFINAL-1299:玛哈泰寺；THXHSFINAL-1321:玛哈泰寺,固定实体候选,合并既有记录，不新增,文化爱好者,千年佛塔、供奉佛祖舍利、泰国南部最重要皇家寺庙,"多彩的泰北小城｜ 彭世洛一日游
泰国不止有普吉甲米！洛坤府，南部宝藏地🛵","https://www.xiaohongshu.com/explore/69a07bc9000000002303869c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a5df157000000000f012a11?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,餐饮美食,Bay View Cafe,Bay View Cafe,景观咖啡馆,攀牙湾,51,2,疑似已存在,THXHSFINAL-1580:Bay View Cafe,固定实体候选,合并既有记录，不新增,日落/摄影,俯瞰攀牙湾、人均100元、坡度45度,"避开人潮｜普吉周边小众目的地推荐！
泰国攀牙湾｜意外闯入世外桃源","https://www.xiaohongshu.com/explore/67790b2c000000000900e8e5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65b3c8c6000000002c0356cf?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,购物商业,Bang Niang Market,邦娘夜市,综合夜市,邦娘区,51,3,疑似已存在,THXHSFINAL-1208:邦娘夜市,固定实体候选,合并既有记录，不新增,游客/逛吃,300+摊位、烤排骨、Mojito 60泰铢、周一/三/四/日开,"考拉兰儒国家公园🏞️徒步路线和邦娘夜市
考拉（蔻丽）一个泰国最喜欢的宝藏地
Bang Niang Market","https://www.xiaohongshu.com/explore/693adc45000000001e028d33?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68f3b6e900000000070083c4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66953a260000000025014389?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Khao Lak-Lam Ru National Park,兰儒国家公园,国家公园,热带雨林,51,1,疑似已存在,THXHSFINAL-1588:兰儒国家公园,固定实体候选,合并既有记录，不新增,徒步/自然,30分钟轻松路线、观景台、沙滩,考拉兰儒国家公园🏞️徒步路线和邦娘夜市,https://www.xiaohongshu.com/explore/693adc45000000001e028d33?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Nang Thong Beach,南通海滩,海滩,南通区,51,3,疑似已存在,THXHSFINAL-1765:囊通海滩,固定实体候选,合并既有记录，不新增,冲浪/日落,人少清净、贝壳多、适合冲浪,"向全世界安利普吉周边度假小镇—考拉
🇹🇭泰国!考拉!不愧是亲子酒店天花板
🇹🇭考拉Khao Lak - 四天四夜","https://www.xiaohongshu.com/explore/67d15c99000000001201ea99?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69e6ebaf000000002200eb84?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69cbb7c4000000001a028066?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Samet Nangshe Viewpoint,萨梅特南舍观景台,山顶观景台,山顶,51,0,疑似已存在,THXHSFINAL-1344:Samet Nangshe 观景台,固定实体候选,合并既有记录，不新增,日落/摄影,俯瞰攀牙湾、50泰铢接驳车、坡度45度,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Takuapa Old Town,达锅巴古镇,百年老街,老城区,51,2,疑似已存在,THXHSFINAL-1583:塔库阿帕老镇,固定实体候选,合并既有记录，不新增,文化/历史,中泰建筑、艺术涂鸦、复古咖啡厅,"这条街有多少阿嫲的情书
避开人潮｜普吉周边小众目的地推荐！","https://www.xiaohongshu.com/explore/6a3e925b0000000016025258?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67790b2c000000000900e8e5?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Ton Chong Fa Waterfall,通冲法瀑布,瀑布,雨林深处,51,1,疑似已存在,THXHSFINAL-1426:通冲法瀑布,固定实体候选,合并既有记录，不新增,亲子/戏水,溪边野餐、自然清凉,普吉岛考拉必打卡清单✨玩这些才叫海岛游！,https://www.xiaohongshu.com/explore/69f5f46e0000000023007cb5?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
彭世洛府,景点观光,Wat Ratchaburana,วัดราชบูรณะ,寺庙,彭世洛市区,29,2,疑似已存在,THXHSFINAL-1303:拉差布拉那寺,固定实体候选,合并既有记录，不新增,历史爱好者,15世纪阿瑜陀耶早期建筑、古壁画、拉玛九世出生证明,"泰北旅行泰国彭世洛旅游攻略
多彩的泰北小城｜ 彭世洛一日游","https://www.xiaohongshu.com/explore/6a799c28000000002c003f20?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a07bc9000000002303869c?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
