交付文件,业务类别,数据类型,记录数,数据来源渠道,上游来源文件,上游文件SHA256,交付文件SHA256,交付批次,交付整理时间UTC,备注
05_曼谷城市知识图谱_POI数据/02_酒店住宿/00_目录说明.csv,酒店住宿,目录说明,8,既有业务目录说明,04_GoogleMaps曼谷/02_酒店住宿/00_目录说明.csv,e140e05288909dd592183a7717e43c204b740cc64ba06489aefba6f9c2b56ceb,8a6c8ea8619a63deb93a70ee10e63c282761e373dc297e4fcce46767489bf5f7,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/01_地点主数据/地点总表.csv,酒店住宿,01_地点主数据/地点总表,1273,多渠道；详见表内数据来源渠道字段,04_GoogleMaps曼谷/02_酒店住宿/01_地点主数据/地点总表.csv,2136d558b6d3d0fdcc79aa8c2d01ae3095e49b15f0047dd5b601089a7253ca43,ed5d9d685afba0ee92234338f5ef5f0e62669f80f460f6ad763c9b48346eb919,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/02_泰文名称/地点泰文翻译对照.csv,酒店住宿,02_泰文名称/地点泰文翻译对照,1273,多渠道；详见表内数据来源渠道字段,04_GoogleMaps曼谷/02_酒店住宿/02_泰文名称/地点泰文翻译对照.csv,aa5b5e35065beb4dfe9214014d49ba57aef80432bf33667146d2cbcea66ea975,dfbdc985cbb534d1e9c780c0706938620b7bdcb96bccc15eb9a50c25860e60c1,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/03_酒店报价/历史酒店报价.csv,酒店住宿,03_酒店报价/历史酒店报价,482,多渠道；详见表内数据来源渠道字段,04_GoogleMaps曼谷/02_酒店住宿/03_酒店报价/历史酒店报价.csv,da7b82137f690c41dd9d6f4f42bd32c0901a0c1785673719b75cd0ecae247f92,6dd36890871e3d68d99bf73e242d52411b3778c8b983dd916dee231209e02bcb,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/04_评论样例/历史评论样例.csv,酒店住宿,04_评论样例/历史评论样例,2172,Google Places API (New)／Google Maps历史评论样例,04_GoogleMaps曼谷/02_酒店住宿/04_评论样例/历史评论样例.csv,381dc8a21e38687cfa34b021ec8b2e003539a6355e7318650023694fba06ba3c,da163c7599fe317065f570867fd91c55654fbf81f58533072aae36d0ddf9d2ba,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/05_核验待补/实时补采清单.csv,酒店住宿,05_核验待补/实时补采清单,1273,Google Maps／Google Places历史数据,04_GoogleMaps曼谷/02_酒店住宿/05_核验待补/实时补采清单.csv,f2bf66a1c9023008f76229109436f0eb3fd16a1a7d08633ea38b29afb6693f7a,cd419f51cd71830bd13ea6af69431b46f8d81084ab537496a6a762ba26a05462,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/06_边界审核/曼谷边界外待审核.csv,酒店住宿,06_边界审核/曼谷边界外待审核,0,Google Maps／Google Places历史数据,04_GoogleMaps曼谷/02_酒店住宿/06_边界审核/曼谷边界外待审核.csv,0b255859d04c3dcd1a1c9e62fce86873e9590c5e8618a565671a7bd8044bc06b,3f20ba31376a5ba1d524642b379adc388b3cf983370440440e01eee84f0fc609,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/07_来源清单/来源文件清单.csv,酒店住宿,07_来源清单/来源文件清单,67,历史来源文件清单,04_GoogleMaps曼谷/02_酒店住宿/07_来源清单/来源文件清单.csv,f29c4cd0b31569f02139c0c90de4979dc161bdada0e6375a3d6a3a148d5d7449,025dd3356df15eed68f476d518011b1572b800cd673b0bd04f523f94301e0ac0,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/02_酒店住宿/08_异常核验/来源异常核验.csv,酒店住宿,08_异常核验/来源异常核验,0,Google Maps／Google Places历史数据,04_GoogleMaps曼谷/02_酒店住宿/08_异常核验/来源异常核验.csv,5476a17727ce6585344468c85bfc8bbdf6eed2dbe351eb03a3c9d8ee113f1ea7,b01f3757324ec27186a7c9578f7d45856614f668b53a7dc14c8eff74e617ab35,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/00_目录说明.csv,美食餐饮,目录说明,5,多渠道；详见表内数据来源渠道字段,outputs/曼谷GooglePlaces全量采集_中泰双语_20260827/03_美食,,6fb67117abd20dd42fc4cb7741dd32d1390d49a5c5bc58739aa596052cfe991a,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/01_地点主数据/地点总表.csv,美食餐饮,01_地点主数据/地点总表,3158,Google Places API (New),67个美食概况源表,,70af4191ec83d93a855ee06bba5030498cd02df33e75ac290cf561f8c205b400,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/02_泰文名称/地点泰文状态.csv,美食餐饮,02_泰文名称/地点泰文状态,3158,Google Places API (New),05_曼谷城市知识图谱_POI数据/03_美食餐饮/01_地点主数据/地点总表.csv,70af4191ec83d93a855ee06bba5030498cd02df33e75ac290cf561f8c205b400,310003bdd0ea6b848a1154b8270bc54a4ca7529114256561e6fe69700892ffda,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/03_评论样例/历史评论样例.csv,美食餐饮,03_评论样例/历史评论样例,3258,Google Places API (New),67个美食评论源表,,c4b7b3bee094438e59edf757bf91c0fc19a33b3130ef4f5f73d13daa3626535d,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/04_地点简介/地点简介.csv,美食餐饮,04_地点简介/地点简介,3158,Google Places API (New),67个美食简介源表,,52232c5e2b5d55669af2c89c8c4a7cb1f8ef2df1c17372c2911b320281aeec31,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/05_价格数据/历史价格数据.csv,美食餐饮,05_价格数据/历史价格数据,0,Google Places API (New),67个美食价格源表,,6028318337d710471e5d0141a8aa3b18423f124420bacaaa9e92a024bbeda134,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/06_核验待补/实时补采清单.csv,美食餐饮,06_核验待补/实时补采清单,3153,Google Places API (New),05_曼谷城市知识图谱_POI数据/03_美食餐饮/01_地点主数据/地点总表.csv,70af4191ec83d93a855ee06bba5030498cd02df33e75ac290cf561f8c205b400,3bb4225b2aef1e942b95f2ee9eb04cf89318ab4a3506c0f4e218fdf551fa82aa,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/07_来源清单/来源文件清单.csv,美食餐饮,07_来源清单/来源文件清单,268,多渠道；详见表内数据来源渠道字段,outputs/曼谷GooglePlaces全量采集_中泰双语_20260827/03_美食,,49fc4d39f83f0ffec2e84bd418390b4ed29547bc863d523d35fb17fb7299c936,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/03_美食餐饮/08_异常核验/来源异常核验.csv,美食餐饮,08_异常核验/来源异常核验,0,Google Places API (New),05_曼谷城市知识图谱_POI数据/03_美食餐饮/01_地点主数据/地点总表.csv,70af4191ec83d93a855ee06bba5030498cd02df33e75ac290cf561f8c205b400,37e8c9e8494fbc4c1651505ab9172eebd9f55e119682dd2466ba5d269427445b,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/90_数据来源与溯源/字段来源要求.csv,全局,90_数据来源与溯源/字段来源要求,10,本次整理规则,本次整理规则,,1bd90d411497d3df338504591d3538fd69263913e47d6f6116e9c4cd9a11826e,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/90_数据来源与溯源/数据来源渠道.csv,全局,90_数据来源与溯源/数据来源渠道,6,多渠道；详见表内数据来源渠道字段,本次整理规则＋既有来源文件,,0488f7c8f18def37e18d434ad26eeaa6357fc95968e66efa34c2aafc14085bb0,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/90_数据来源与溯源/数据规模统计.csv,全局,90_数据来源与溯源/数据规模统计,10,多渠道；详见表内数据来源渠道字段,本次整理统计,,5a0c1ffd1d93972cf014373f4619f5959387aa4a3ded28dc44b6ef584d4132d6,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/90_数据来源与溯源/营业时间API回填记录_20260906.csv,景点,营业时间API回填审计,171,Google Places API (New)（营业时间）,04_GoogleMaps曼谷/90_溯源与校验/营业时间API回填记录_20260906.csv,44e02360db014d219972fe00feea2c53c9adb4bfaa2336d31f002dc7be81d56e,44e02360db014d219972fe00feea2c53c9adb4bfaa2336d31f002dc7be81d56e,曼谷城市知识图谱_POI数据_20260906,2026-09-07T02:23:45.205610+00:00,regularOpeningHours与currentOpeningHours分列；错误当天摘要保留在审计表
