帖子知识ID,关联问题ID,来源采集阶段,小红书帖子ID,标题,作者,发布日期,URL,帖子正文,正文状态,正文字符数,点赞数,采集时间,内容SHA256,重复来源记录数,重要口径
XHSPOST-6970849900000000220221F7,GYTRAVEL-S3-S001,20260907_第三阶段_游客高频问题覆盖,6970849900000000220221f7,来贵阳必冲的伴手礼老店！,爱吃煎黄花鱼的阿斯,2026-01-21,https://www.xiaohongshu.com/explore/6970849900000000220221f7?xsec_token_redacted=1&xsec_source=pc_dots,"在贵阳民生路农贸市场二楼扶梯口，我找到了这家叫「黔宝集」的宝藏老字号！
位置超显眼，一上楼就能看到。
✅ 必买清单
• 现装的辣椒面和油辣椒：香到跺脚，不管是拌面还是蘸水都绝了。
• 贵州腊肉腊肠：肥瘦相间，是柴火烟熏的地道家乡味。
• 红酸汤、豆米火锅、地摊火锅底料：直接打包几袋回家，随时能复刻贵州酸汤鱼、豆米火锅还有贵州的地摊火锅啦🎉
• 刺梨汁：酸甜解腻，喝起来满满维C。
店里还有各种包装好的伴手礼礼盒，像「贵州山宝」就很适合送长辈，一站式就能把贵州风味都带走。
小贴士💡：选完买单的时候听店员小姐姐说，过年只放3天假，大家错开这三天，随时可以过去😘😘
#贵阳伴手礼[话题]# #贵州特产[话题]# #民生路美食[话题]# #贵阳老字号[话题]# #黔宝集[话题]# #民生路必逛[话题]# #民生路必打卡伴手礼[话题]# #送礼佳品[话题]# #本地特产美食[话题]#",完整,390,78,2026-09-07T02:32:59-07:00,313e9996bb71f2a779993a12b4a8d11a2912a38b70520e0b38a4bfd02dcde1e1,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-6970B349000000001A032F09,GYTRAVEL-S3-S004,20260907_第三阶段_游客高频问题覆盖,6970b349000000001a032f09,盘点贵阳五大早市。#贵阳[话题]# #贵阳市集[话题]# #贵阳早市[话题]#,贵阳潇洒哥,2026-01-21,https://www.xiaohongshu.com/explore/6970b349000000001a032f09?xsec_token_redacted=1&xsec_source=pc_dots,盘点贵阳五大早市。#贵阳[话题]# #贵阳市集[话题]# #贵阳早市[话题]# #贵阳赶集[话题]#,完整,50,6,2026-09-07T03:03:31-07:00,07698a4ad31b1e59741a981f1185df3b95c5575e3107ad481834effa7033cd29,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-6970C5A9000000002102AA32,GYTRAVEL-S2-F005,20260904_第二阶段_餐饮住宿扩充,6970c5a9000000002102aa32,去贵阳老厂区的窑烤面包房，喝咖啡，看演出,花花肠子的自拍,2026-01-21,https://www.xiaohongshu.com/explore/6970c5a9000000002102aa32?xsec_token_redacted=1&xsec_source=pc_dots,"这里对于贵阳人来说
并不陌生
很多人来看过演出
而我去这里，是想要找个空旷的院子
晒晒冬天的太阳
再来上一杯咖啡
等着窑烤的面包出炉
🌸
花花肠子的碎碎念：
①他家和‘开始艺术区’是一家，所以有演出或活动时，会更热闹一些，很多人会提早来坐坐。
-
②开始艺术区，不用我再多介绍了吧，感觉爱打卡的、爱看演出的、爱参加活动的人应该都来过不止一次。
-
③他家是去年5月份开始增加了窑烤面包，平常每天来是会烤4-6款。周末，通常会有体验活动，适合带娃体验。
-
④店里有咖啡、饮品，平常工作日很安静，所以有人专程带电脑来办公或自习。
-
⑤户外有好几个地方都可以坐，和冬天的太阳是绝配。
-
⑥室内室外有很多出片的地方，甚至烤炉也是高颜值。
-
⑦停车巨方便，下车就到。
@吃货薯 @薯队长 @日常薯 @生活薯
#100家探店计划[话题]# #贵阳咖啡馆[话题]# #贵阳周末去哪[话题]# #贵阳咖啡[话题]# #贵阳演出[话题]# #贵阳窑烤面包[话题]# #贵阳面包[话题]# #贵阳烘焙[话题]# #贵阳自习室[话题]# #贵阳溜娃[话题]#",完整,472,56,2026-09-04T01:55:52-07:00,b6fc66c3ee10d7b60e5b92b770b7ed9d5deff900e16870e9d23d13c996557c0c,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-6972131D000000002103C424,GYTRAVEL-S2-F005,20260904_第二阶段_餐饮住宿扩充,6972131d000000002103c424,贵阳社区里‘日式咖啡+黔味面包’双修小店,花花肠子的自拍,2026-01-22,https://www.xiaohongshu.com/explore/6972131d000000002103c424?xsec_token_redacted=1&xsec_source=pc_dots,"26年一开年，我就特意去了这里
因为他叫“黔包鼓鼓”
我想讨个吉利
🌸
花花肠子的碎碎念：
①诞生在去年6月，两兄弟开的，一个做咖啡，一个做面包。
-
②因为面包都是每日现做，所以中午才开门，陆续出炉上架，种类很丰富，性价比非常高，不管哪一款，馅料都塞得满，而且有多款黔式风味，根据贵州特色来创意的，香辣为主。好比我去的那天就有“贵阳味洋芋面包”，里面扎扎实实能够吃到一大坨洋芋，吃得我大为震惊。
-
③店里展示了很多证书和照片，店主不仅做了十多年的烘焙，而且是科班出生。可露丽记得一定要点，别处吃不到如此便宜的。
-
④咖啡是走日式咖啡路线，店主从事咖啡行业快十年，豆子都是自己烘，出品也很有自己的想法和特点。所以店里客人多是特意找来的重度咖啡发烧友。
-
⑤店里冬天只有咖啡，没有其他饮品，夏天会增加苏打水和冰淇淋。
-
⑥店内不算大，店外有一个小庭院，夏天坐着会更为舒服。
-
⑦店里的吉利话特别多，好运、变瘦，更多的是发财，再加上店名，哈哈，太适合新年打卡。
-
⑧庭院里有猫窝，是给流浪猫准备的，它们经常来睡觉。
-
⑨周一固定休息，别跑空了。
-
从2026开始，我会“钱包鼓鼓”！
@吃货薯 @薯队长 @日常薯 @生活薯
#100家探店计划[话题]# #贵阳咖啡[话题]# #贵阳咖啡馆[话题]# #贵阳甜点[话题]# #贵阳深巷美食[话题]# #贵阳社区店[话题]# #贵阳社区咖啡[话题]# #贵阳面包店[话题]# #贵阳烘焙店[话题]# #贵阳蛋糕店[话题]#",完整,640,20,2026-09-04T01:55:52-07:00,52aa02336cb7113321b16b23cd5a332c597c72b3d4bc65ba8e9186672eb8589d,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-697353E5000000000A03C0A1,GYTRAVEL-S3-S002,20260907_第三阶段_游客高频问题覆盖,697353e5000000000a03c0a1,青云集市探店，这家我真的爱了！❤️,薛洋,2026-01-23,https://www.xiaohongshu.com/explore/697353e5000000000a03c0a1?xsec_token_redacted=1&xsec_source=pc_dots,#贵阳[话题]# #别致的杂货铺[话题]#  #藏在巷子里的宝藏店铺[话题]# 逛青云市集发现了藏在猫街的一家小众宝藏店铺，里面也有很多关于苗绣苗银的饰品🦋，照片都拍不出来的美，耳环里绣的银线会跟着灯光变幻流动，实物非常美，📷拍不出来的美，狠狠购入两对耳饰，好盆友看我非常喜欢就送了我两条项链[棒R]尊嘟太好看啦[超喜欢R],完整,162,3,2026-09-07T03:02:31-07:00,ab4e237f8e8ef1c47f619ed43032515014ca118b144414db82340d83f4518450,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-69758ACC000000000B00BE0E,GYTRAVEL-S2-F004,20260904_第二阶段_餐饮住宿扩充,69758acc000000000b00be0e,贵阳夜宵必吃榜！烤牛黄金和脑花封神了,干饭暴富两不误🍚💰,2026-01-25,https://www.xiaohongshu.com/explore/69758acc000000000b00be0e?xsec_token_redacted=1&xsec_source=pc_dots,"不是我说‼️就在黔灵东路这家马老三烤鲜牛肉
是贵阳的夜宵灵魂，我私藏的烤肉天花板
求所有来贵阳的姐妹都去试试好吗！！

✨必点推荐✨

🔥牛黄金
他们家的招牌！小哥拿着烤盘现问要多少串
烤得滋滋冒油 焦香四溢💥
入口瞬间油脂爆开 但神奇的一点不腻！
脆中带糯 香气直冲天灵盖🤤

🧠烤脑花
处理得超级干净！一点腥味都没有～
口感嫩得像豆腐 香辣入味🌶️
里面的泡萝卜丁是灵魂！
酸甜解腻 跟脑花搭在一起绝了

🐚爆炒花甲
花甲个个肥美饱满 吐沙超干净
辣中带鲜 酱汁浓郁💦
连里面的芹菜都入味到被抢光！
下酒神器实锤🍻

🌟环境服务
店面明亮干净 座位不挤
烤串是流动式询问 要多少拿多少
其他菜可以单点 上菜速度很🉑
宵夜氛围直接拉满～

#马老三烤肉[话题]# #马老三鲜烤牛肉[话题]# #人间烟火烧烤气[话题]# #夜宵好去处[话题]# #烧烤届的天花板[话题]# #为宵夜而生的美食安利[话题]# #这才是夜晚觅食的好去处[话题]# #贵阳美食[话题]# #大声安利本地美食[话题]#
@马老三烤鲜牛肉",完整,456,7,2026-09-04T01:30:33-07:00,1c3a64468838ec107f71bbb626f2311895387391ddff156d99d3be8b77e671d5,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-69758E7B000000000E03D44D,GYTRAVEL-S2-F004,20260904_第二阶段_餐饮住宿扩充,69758e7b000000000e03d44d,"逮火烤鸡，一口封神！本地人私藏的宵夜天花板🔥
""来贵阳不吃烤鸡等于白来！每天下",逮火烤鸡,2026-01-25,https://www.xiaohongshu.com/explore/69758e7b000000000e03d44d?xsec_token_redacted=1&xsec_source=pc_dots,"逮火烤鸡，一口封神！本地人私藏的宵夜天花板🔥
""来贵阳不吃烤鸡等于白来！每天下午5点半开门，鲜鸡碳烤等餐半小时起步，但真的值得！""
🍗 必点推荐：
- 整只烤鸡：外皮焦香酥脆，肉质鲜嫩多汁，撒上秘制辣椒，香到舔手指！
- 薄荷鸡皮：单独烤的鸡皮才是灵魂，焦香不腻，一口下去满嘴油香，配上薄荷，瞬间又变得很清爽的口感！
- 鸡菌鸡肝：鸡菌火候刚好，Q弹有嚼劲，芥末鸡肝像冰淇淋的口感，绝对的下酒神器！
🌶️ 灵魂蘸料：
秘制鸡汤辣椒水+油泼辣椒（加葵花籽花生小火慢炒），双重暴击！直接封神！
💰 人均：50-80元，整只鸡才160+，份量充足，性价比你来了就知道。[赞R]
📍 位置：贵阳市观山湖区长岭北路中天•会展城A9组团1-5栋负3层10B（具体店名私信我，怕你们找不到）
⚠️ 小贴士：
1. 建议提前电话预约，不然真的等很久。
2. 不建议外带，堂食才有炭火气。
贵阳美食 #贵阳烤鸡[话题]# #宵夜必吃[话题]# #贵阳美食[话题]# #美食探店[话题]# #贵阳旅游[话题]#",完整,445,21,2026-09-04T01:30:33-07:00,bbe337dfa796fbd03172a1a1a1adaa14c5ab5d067b73e1b098eb85ccb944b957,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-6975FB91000000000C034461,GYTRAVEL-S2-H009,20260904_第二阶段_餐饮住宿扩充,6975fb91000000000c034461,到此一游计划，用最好的方式证明来过。,贵阳美岸燕舍精品民宿,2026-01-25,https://www.xiaohongshu.com/explore/6975fb91000000000c034461?xsec_token_redacted=1&xsec_source=pc_dots,"避开人潮！贵阳私藏合作套餐🌿
来贵阳旅行怎么能不拍一组少数民族写真？不想住千篇一律的酒店？这是一家私藏民宿+小众摄影工作室的神仙联动，入住即享专属优惠，拍出不撞款的苗疆少女感～
这家民宿坐落在甲秀楼旁边，南明河畔，远离喧嚣，木质结构的房间带着淡淡的木香，露台能看到贵阳市中心街景，晚上坐在院子里喝茶聊天超治愈。最惊喜的是和本地一家小众摄影工作室的合作，没有网红爆款套路，专注于少数民族传统服饰的还原和个人气质的结合，拍照超上镜～
摄影工作室的服装都是老板亲自收的老绣片改造，每一件都有独特的纹样和故事，银饰也是手工打造的，质感绝了。化妆师会根据你的脸型和服装设计专属造型，不是千篇一律的浓妆，而是清透自然的苗系妆容，突出眉眼的灵动。摄影师会带你去不同取景地，比如甲秀楼、文昌阁、青岩古镇，拍出来的照片既有苗族特色，又不会和别人撞片～
算下来真的超划算！平时单独订这家摄影工作室的写真要699，住民宿后只要279，还能享受优先预约权（不用排队等拍摄），对于想避开人潮、追求独特体验的姐妹来说，真的太香了～
来苗寨想拍有质感的苗族写真，又想住得舒服省心？这个合作套餐直接闭眼冲，绝对是旅行中的意外之喜～
#美岸燕舍精品民宿[话题]#  #黔里印象写真馆[话题]#  #贵阳旅行住宿[话题]#   #苗族写真小众款[话题]#  #民宿隐藏福利[话题]#   #贵阳旅行避坑指南[话题]#  #私藏民宿[话题]#  #贵阳摄影工作室推荐[话题]#  #不撞款写真[话题]#  #苗疆风情[话题]#",完整,644,2,2026-09-04T01:51:36-07:00,36cad74a2da45beabde360da75da08f264bc380e87dc0f56e5ad739f9db8181e,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-69761844000000002102861A,GYTRAVEL-S3-L004,20260907_第三阶段_游客高频问题覆盖,69761844000000002102861a,第20站：南明区逸天城玩点名堂,琳琅妈妈,2026-01-25,https://www.xiaohongshu.com/explore/69761844000000002102861a?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳冬天遛娃真的不用愁❄️挖到逸天城玩点名堂这个宝藏地，性价比直接拉满，老母亲狂喜！
办会员一次才30多块💰一天内无限次进出，玩累了出去干饭再进来完全OK，这性价比谁懂啊！
别看场地不算超大，但项目巨全还超耐玩，娃能从开门嗨到闭店！
✅小厨房｜沉浸式过家家，煮饭炒菜角色扮演停不下来
✅干净石子堆｜比沙池省心百倍，玩完不粘衣好打理
✅科技走廊｜边玩边启蒙，趣味满满不枯燥
✅蹦蹦床+滑梯+海洋球｜放电刚需区，疯玩消耗体力超管用
✅换装区｜公主裙小礼服都有，臭美娃能折腾好久
✅积木+磁力片等益智玩具｜既能放电又能锻炼专注力，启蒙超合适
全场设施都维护得很新，没有破损，边角软包到位，娃玩着超放心～
重点优势直接戳心巴！
✔️ 停车方便，自驾党毫无压力
✔️ 逸天城玩吃逛一体，娃玩累了下楼就能干饭逛街，超省心
✔️ 平时人不多，不用人挤人，娃玩得开家长也舒心
娃在里面既能疯跑放电，又能通过积木、磁力片锻炼动手能力和启蒙认知，全程自己嗨不停，老母亲只管坐着刷手机歇着，彻底解放双手！
冬天不想吹风挨冻，想找性价比高又省心的遛娃地，冲这家准没错！
📍地址：贵阳逸天城 玩点名堂
💡Tips：办会员超划算，记得给娃穿宽松舒适的衣服
#贵阳遛娃 #贵阳室内遛娃 #逸天城遛娃 #贵阳冬天遛娃 #玩点名堂 #遛娃好去处 #解放双手遛娃 #亲子游 #贵阳遛娃性价比之选 #室内儿童乐园",完整,587,6,2026-09-07T02:31:53-07:00,c53cf677cb8e283d378456156eabdcd2711c1e5f704e6e8670f3f398a47576c4,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-697837AE0000000022008814,GYTRAVEL-S3-F004,20260907_第三阶段_游客高频问题覆盖,697837ae0000000022008814,贵阳龙洞堡机场休息室牛肉粉好吃,凌晨几点,2026-01-27,https://www.xiaohongshu.com/explore/697837ae0000000022008814?xsec_token_redacted=1&xsec_source=pc_dots,"一大早来赶飞机结果延误了，结果发现T2休息室的牛肉粉味道还不错！直接怒吃了两碗，牛肉好吃，可惜没有酸粉！！

题外：龙洞堡安检的态度能不能好点，特别没有耐烦心，安检完找不到包，问工作人员，再说几句真的要吵起来的程度，后面看监控发现是他们安检人员不小心把我包放他们工作区域了…[汗颜R][汗颜R]但是好在休息室还不错，心情抵消了～

#牛肉粉[话题]# #贵阳[话题]#｜#龙洞堡机场[话题]# #快乐嗦粉[话题]#",完整,207,12,2026-09-07T02:23:38-07:00,4f49351832b73129e3222a121f01b2a3eebf78b688b8df00adac601a408ff2a9,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-697873A60000000021028CEA,GYTRAVEL-S2-F001；GYTRAVEL-S3-F004；GYTRAVEL-S3-H002,20260904_第二阶段_餐饮住宿扩充；20260907_第三阶段_游客高频问题覆盖,697873a60000000021028cea,住胜开酒店必看｜贵阳火车站步行可达美食全,小红薯69A5F00C,2026-01-27,https://www.xiaohongshu.com/explore/697873a60000000021028cea?xsec_token_redacted=1&xsec_source=pc_dots,"胜开国际大酒店距贵阳站仅340米，步行5分钟直达，周边美食扎堆，不管是中转歇脚还是度假住宿，都能吃透地道黔味！

📍酒店坐标：南明区鸿通城A座（火车站达高桥中信银行旁），出贵阳站步行约3分钟，距地铁站也才350米，交通直接拉满！

💡核心优势：从酒店出发，步行10分钟内覆盖小吃街、商场美食、本地老字号，不用绕路，主打一个高效干饭！

🔥 步行3分钟｜鸿通城必吃清单
✅ 丝恋丝娃娃（鸿通城店）｜人均50+
贵州特色TOP1！薄如蝉翼的饼皮裹满脆嫩小菜，淋上灵魂酸汤蘸料，清爽解腻。搭配一碗玫瑰冰粉，酸甜口感绝了。从胜开下楼直达鸿通城，逛吃无缝衔接～
✅ 金牌罗记肠旺面（鸿通城店）｜人均15
老贵阳味的精髓！面质筋道够味，汤汁浓郁醇厚，大肠、血旺新鲜不腥，配上脆哨越嚼越香。早起从酒店步行2分钟就能炫一碗，开启元气一天。
✅ 快哈特制烤米皮｜人均14
隐藏款人气王！铁板烤过的米皮吸足香辣酱汁，软糯中带点焦香，辣椒香而不呛，配上豆芽和葱花，碳水星人直接狂喜。逛鸿通城必冲，性价比拉满。
🔥 步行1分钟｜二七路小吃街（地道烟火气）
从胜开酒店步行至鸿通城西侧，就能抵达这条400米小吃街。
✅ 恋爱豆腐果｜10元/份：外焦里嫩，剖开塞满胡辣椒和折耳根碎，酸辣够味，接受不了折耳根可提前备注少放？
✅ 刘三妹烤脑花｜15元/份：莲花白菜叶包裹烤制，自带清甜，软嫩无腥味，重口星人必冲，撒上折耳根香到舔盘。
🔥 步行10分钟｜兴关路老字号
✅ 陈记绿色肉饼｜7元/个：5星好评的街边美味，外皮酥脆掉渣，内馅鲜香多汁，不管是当早餐还是加餐都合适，本地人也常排队回购。
✅ 马老三烤吧｜人均70+：晚上氛围超浓，烤串火候到位，搭配本地啤酒，朋友小聚、家庭小酌都适配，饭后步行回酒店超安全。

📌 胜开住客专属Tips
1. 酒店自带餐饮服务，早起赶车可直接在酒店吃早餐，兼顾便捷与安心，吃饱再出发逛吃更尽兴。
2. 婚宴、年会订胜开超省心！场地大气、停车便利，办完宴请直接在周边炫美食，不用奔波赶路。
3. 小吃多为酸辣口，怕辣的宝子可提前说少放辣，搭配冰粉或酸梅汤解辣效果绝了。
4. 晚上逛小吃街从二七路回酒店步行1分钟可达，非常便利。
住胜开=解锁贵阳站美食枢纽✨ 不管是中转短暂停留，还是深度游玩，都能轻松吃透本地味，收藏起来备用吧！
#贵阳美食攻略[话题]# #贵阳火车站周边美食[话题]#",完整,996,70,2026-09-07T02:54:29-07:00,c597e1d58c861d7c1ef52321e25227a912521f848583ca805eb5973dd01944b5,3,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-697875AB000000000E00EB47,GYTRAVEL-S2-F010,20260904_第二阶段_餐饮住宿扩充,697875ab000000000e00eb47,📍贵州春山｜我被这家冰淇淋甜到了！,一颗油麦菜,2026-01-27,https://www.xiaohongshu.com/explore/697875ab000000000e00eb47?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳真的太好吃了 还会来的！
p1春山gelato 在一个小巷子里 点的柚子和毛尖味 柚子的里面加了柚子皮 口感丰富 酸度较重 毛尖茶味浓郁 比抹茶的茶味更浓
p2玉珍酸笋火锅（喷水池店）
没排队 12点直接walk in了 点了59的套餐两个人吃刚好 番茄蘸料很好吃 酸笋也很美味
p3life芝味
晚上8点多买的 芝士味很浓郁 但没有经验的程度 蓝莓味不是特别浓
p4肉末➕脆哨酸粉
粉比较硬 不是喜欢的口感 调味还行
p5 吾茶白·贵茶潮饮烘培概念店
买了个抹茶甜筒 抹茶味在 但冰碴子也在 味道很一般
p6贵厨
味道不错 很喜欢 越煮越浓郁 土豆煮到最后更好吃
p7不肥面包
这个抹茶的内馅很丰富抹茶味超级浓郁 馅超级足
属于甜抹 他家次梨的乡村面包也好吃
p8 新大新豆米火锅（南国花锦店）
点的糟辣豆米火锅 mt双人套餐根本吃不完 分量很大 锅底酸辣口 沾水可以自己调 烧椒酱是灵魂
p9李山山
点的柚见春山不另外加糖 口感很清新 很清爽 柚子味搭配抹茶一点不违和
p10moymoy
贵但巨好吃 巴斯克留心 奥利奥饼干底 上面撒了奥利奥碎 炒鸡美味😋 属于甜抹 但甜度较低
p11 代家牛肉火锅（虎门巷店）
牛肉巨新鲜 超级好吃 点了一斤牛肉一份笋子吃的超级饱 干香的口感
p12 生根抹茶行
是这次来贵州喝过的最好喝的抹茶饮品 点了一杯情书和焙抹双拼 香而不苦 二者兼容的刚刚好 奶泡很厚实 喝的出是超级浓郁的抹茶和焙茶 情书上面撒了玄米和糯米粉 小姐姐还说糯米粉是模拟电影情书中下大雪的场景 很有创意
p13-16在安顺顾府街买的一些小吃 都是还行但不惊艳的程度 裹卷还忘拍了 两个人吃了两天才吃完
p17宫鼎茶
点了一个抹茶糯叽叽啥的 忘了 好喝 像一碗粥 不另外加糖还行 小料比较甜
p18人参果 10/个
像香瓜和黄瓜杂交的物种 很清新
#灵感好店出道计划[话题]# #一口惊艳的gelato[话题]# #抹茶冰淇淋[话题]# #贵州[话题]# #甜品治愈一切[话题]# #贵州旅游[话题]# #反复去吃的美食[话题]# #碳水星人的天堂[话题]#",完整,886,6,2026-09-04T01:39:32-07:00,f13db0e70fe0804cad0987ea0a6c043794a65c7518d563c530467b2317fa5b62,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-69788D5B000000000C037D63,GYTRAVEL-S3-L004,20260907_第三阶段_游客高频问题覆盖,69788d5b000000000c037d63,贵阳超大的室内公园！嘿享玩！太好玩啦！#美好生活的记录者[话题]# #室内公园春,黑皮团长～,2026-01-27,https://www.xiaohongshu.com/explore/69788d5b000000000c037d63?xsec_token_redacted=1&xsec_source=pc_dots,贵阳超大的室内公园！嘿享玩！太好玩啦！#美好生活的记录者[话题]# #室内公园春游必备[话题]# #贵阳去哪玩[话题]#！,完整,61,204,2026-09-07T02:31:53-07:00,fffd763aa7e5a2363e5dc4130d8581617006814c441dc630353e7c5c9df740e3,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-69789C2A000000001A035B93,GYTRAVEL-D005,20260904_第一阶段,69789c2a000000001a035b93,贵阳华润万象汇 全季酒店,夏夏,2026-01-27,https://www.xiaohongshu.com/explore/69789c2a000000001a035b93?xsec_token_redacted=1&xsec_source=pc_dots,"本来在纠结选亚朵还是全季
想了想很久没住全季了
就订了
一进门，感觉好矮好小[哭惹R][哭惹R]
舒压大床房，这一点也不舒压
洗了个头，风筒坏的，临时让前台送
隔音非常不好哩，旁边房间的开门关门都听得嘎嘎清楚
话说 早餐种类有点少呢[捂脸R]
#城市精选酒店[话题]# #酒店不推荐[话题]#",完整,146,16,2026-09-04T00:33:39-07:00,7adda2795a6690ad2da2475d85509fa578adea0138ff6c28b7f37168ebebd1d9,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-69797757000000000A031D6E,GYTRAVEL-S3-F002,20260907_第三阶段_游客高频问题覆盖,69797757000000000a031d6e,贵阳黔作餐厅,TT-Tx,2026-01-28,https://www.xiaohongshu.com/explore/69797757000000000a031d6e?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳黔作餐厅是一家主打新派黔菜的餐厅，在菜品、环境、服务等方面还不错，朋友过生日还免费帮我们布置了一下。
• 菜品方面：菜品精致且富有创意，将传统黔菜与现代烹饪技法相结合。比如木姜子脆皮烤鸡，外皮酥脆，肉质鲜嫩，木姜子的香味独特。脆皮怪噜M5和牛，将和牛装在红酒杯里，搭配刺梨汁，口感鲜嫩清爽。还有辣椒造型的鹅肝慕斯，外表是果酱，内里是鹅肝，入口即化。
• 环境方面：餐厅环境优雅，装修风格独具特色。有的门店采用极简的灰黑白配色，搭配材质本身的肌理感，营造出极简雅致的氛围。有的门店则被绣球花围绕，窗外景色优美，如未来方舟水东路的河畔店，给人一种安静、舒适的感觉，适合下午茶和晚餐约会。
• 服务方面：服务员会贴心讲解每道菜的特色吃法。部分门店还可提前沟通忌口和偏好，主厨为顾客独家设计黔味宴。
• 性价比方面：人均消费70-110元左右，丰俭由人，无论是朋友小聚还是商务宴请，都是不错的选择。",完整,397,0,2026-09-07T02:51:09-07:00,9ed391fdb86e72780d8a4f183bb26aacb1738eb5a91b3dbc02ef83ec029af16f,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-697AF3A8000000001A0333FE,GYTRAVEL-S2-H001,20260904_第二阶段_餐饮住宿扩充,697af3a8000000001a0333fe,温馨的入住体验，大十字中山西路亚朵,小蜜薯,2026-01-29,https://www.xiaohongshu.com/explore/697af3a8000000001a0333fe?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳大十字中山西路地铁站亚朵酒店店给人的感觉非常温馨。前台服务态度很好，办理入住速度快，还会贴心提醒一些周边信息。房间整洁干净，床垫舒适，枕头有多种软硬选择，睡起来很舒服。洗浴用品质量也不错，水压充足，热水来得快。酒店整体装修风格简约有质感，暖黄的灯光给人很温馨的感觉。书香气息浓，楼道里还放有书架和香薰，细节上很用心。地理位置也不错，离地铁站都很近，出行方便，周边吃饭也有不少选择。对面有一条民生路小吃#街，晚上休息安静，没有噪音，适合出差或旅游入住。性价比高，酒店楼层很高21~29。可以很宽阔的看到贵阳的全貌，餐厅也很宽阔明亮。
#贵阳大十字亚朵中山西路地铁站[话题]# #贵阳亚朵[话题]# #贵阳酒店推荐[话题]# #贵阳美食[话题]# #贵阳市中心酒店[话题]#",完整,337,1,2026-09-04T01:41:48-07:00,3522226ad1f4535aa2f9b765b533fe21de02a2d4fc0376bb9375a3b78e9d19e6,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
