name,aliases,expectedDistrict,targetEntity,status,reason,queryObservedAt,raw,candidateCount,exactCandidateCount,amapPoiId,candidateName,amapType,amapTypecode,province,city,district,adcode,address,telephone,longitude,latitude,candidateJson
观山湖公园,[],观山湖区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/b7ff16c57606.json,25,1,B03530OZ78,观山湖公园,风景名胜;公园广场;公园,110101,贵州省,贵阳市,观山湖区,520115,观山大桥南北两侧,0851-84878411,106.638004,26.639578,"{""amapPoiId"":""B03530OZ78"",""name"":""观山湖公园"",""type"":""风景名胜;公园广场;公园"",""typecode"":""110101"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""观山湖区"",""adcode"":""520115"",""address"":""观山大桥南北两侧"",""telephone"":""0851-84878411"",""longitude"":106.638004,""latitude"":26.639578}"
贵州省博物馆,[],观山湖区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/df6efe996349.json,23,1,B0FFFEFLJ5,贵州省博物馆,科教文化服务;博物馆;博物馆,140100,贵州省,贵阳市,观山湖区,520115,林城东路107号,[],106.642467,26.647605,"{""amapPoiId"":""B0FFFEFLJ5"",""name"":""贵州省博物馆"",""type"":""科教文化服务;博物馆;博物馆"",""typecode"":""140100"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""观山湖区"",""adcode"":""520115"",""address"":""林城东路107号"",""telephone"":[],""longitude"":106.642467,""latitude"":26.647605}"
香纸沟,"[""香纸沟风景名胜区""]",乌当区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/1cbe20ef2414.json,21,1,B03530Q0QW,香纸沟,风景名胜;风景名胜;风景名胜,110200,贵州省,贵阳市,乌当区,520112,新堡布依族乡103县道附近,[],106.923511,26.776081,"{""amapPoiId"":""B03530Q0QW"",""name"":""香纸沟"",""type"":""风景名胜;风景名胜;风景名胜"",""typecode"":""110200"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""乌当区"",""adcode"":""520112"",""address"":""新堡布依族乡103县道附近"",""telephone"":[],""longitude"":106.923511,""latitude"":26.776081}"
情人谷,"[""情人谷景区""]",乌当区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/518c43e2b225.json,25,1,B0FFGYAZIA,情人谷,风景名胜;风景名胜;风景名胜,110200,贵州省,贵阳市,乌当区,520112,情人谷路,[],106.808403,26.605794,"{""amapPoiId"":""B0FFGYAZIA"",""name"":""情人谷"",""type"":""风景名胜;风景名胜;风景名胜"",""typecode"":""110200"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""乌当区"",""adcode"":""520112"",""address"":""情人谷路"",""telephone"":[],""longitude"":106.808403,""latitude"":26.605794}"
河滨公园,[],南明区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/55f4a5056129.json,25,1,B035300FSN,河滨公园,风景名胜;公园广场;公园,110101,贵州省,贵阳市,南明区,520102,瑞金南路31号,0851-85956270;12301,106.70607,26.568276,"{""amapPoiId"":""B035300FSN"",""name"":""河滨公园"",""type"":""风景名胜;公园广场;公园"",""typecode"":""110101"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""瑞金南路31号"",""telephone"":""0851-85956270;12301"",""longitude"":106.70607,""latitude"":26.568276}"
东山寺,"[""贵阳东山寺""]",南明区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/d0bc3c97f39e.json,7,1,B0FFH6UNUE,东山寺,风景名胜;风景名胜;寺庙道观,110205,贵州省,贵阳市,南明区,520102,栖霞路17号附2号(省人民医院地铁站C口步行220米),19985649681,106.727618,26.578084,"{""amapPoiId"":""B0FFH6UNUE"",""name"":""东山寺"",""type"":""风景名胜;风景名胜;寺庙道观"",""typecode"":""110205"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""栖霞路17号附2号(省人民医院地铁站C口步行220米)"",""telephone"":""19985649681"",""longitude"":106.727618,""latitude"":26.578084}"
贵阳市仙人洞道观,"[""仙人洞"",""仙人洞道观""]",南明区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/e9151d866504.json,4,1,B0353005A2,贵阳市仙人洞道观,风景名胜;风景名胜;寺庙道观,110205,贵州省,贵阳市,南明区,520102,云关乡仙人洞路1号,15185088335,106.735172,26.57582,"{""amapPoiId"":""B0353005A2"",""name"":""贵阳市仙人洞道观"",""type"":""风景名胜;风景名胜;寺庙道观"",""typecode"":""110205"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""云关乡仙人洞路1号"",""telephone"":""15185088335"",""longitude"":106.735172,""latitude"":26.57582}"
花果园双子塔,"[""贵阳花果园双子塔"",""贵阳双子塔""]",南明区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/cec4a0937078.json,25,1,B0KKJMI5Z0,贵阳双子塔,商务住宅;楼宇;商务写字楼,120201,贵州省,贵阳市,南明区,520102,花果园大街88号方圆荟·海豚广场,[],106.683652,26.562521,"{""amapPoiId"":""B0KKJMI5Z0"",""name"":""贵阳双子塔"",""type"":""商务住宅;楼宇;商务写字楼"",""typecode"":""120201"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""花果园大街88号方圆荟·海豚广场"",""telephone"":[],""longitude"":106.683652,""latitude"":26.562521}"
青云市集,[],南明区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/67edc3fcdc38.json,25,1,B0HKPZ8N27,青云市集,餐饮服务;餐饮相关场所;餐饮相关,050000,贵州省,贵阳市,南明区,520102,青云路83号,0851-85556008,106.715094,26.564177,"{""amapPoiId"":""B0HKPZ8N27"",""name"":""青云市集"",""type"":""餐饮服务;餐饮相关场所;餐饮相关"",""typecode"":""050000"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""青云路83号"",""telephone"":""0851-85556008"",""longitude"":106.715094,""latitude"":26.564177}"
贵阳森林公园,"[""贵阳市森林公园""]",南明区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/d8fdfd78b02e.json,25,1,B035301FIE,贵阳市森林公园,风景名胜;风景名胜;省级景点,110203,贵州省,贵阳市,南明区,520102,园林路90号,0851-85514343;0851-85535225,106.751939,26.546255,"{""amapPoiId"":""B035301FIE"",""name"":""贵阳市森林公园"",""type"":""风景名胜;风景名胜;省级景点"",""typecode"":""110203"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""园林路90号"",""telephone"":""0851-85514343;0851-85535225"",""longitude"":106.751939,""latitude"":26.546255}"
泉湖公园,[],白云区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/4e3776f8d75d.json,25,1,B0FFHJ9Y2M,泉湖公园,风景名胜;风景名胜;国家级景点,110202,贵州省,贵阳市,白云区,520113,云峰大道142号,0851-86607083,106.618317,26.671771,"{""amapPoiId"":""B0FFHJ9Y2M"",""name"":""泉湖公园"",""type"":""风景名胜;风景名胜;国家级景点"",""typecode"":""110202"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""白云区"",""adcode"":""520113"",""address"":""云峰大道142号"",""telephone"":""0851-86607083"",""longitude"":106.618317,""latitude"":26.671771}"
南江大峡谷,"[""南江大峡谷景区""]",开阳县,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/f592e1aa0697.json,25,1,B035301FVE,南江大峡谷景区,风景名胜;风景名胜;国家级景点,110202,贵州省,贵阳市,开阳县,520121,南江街道龙广村,0851-87524089,106.995755,26.947475,"{""amapPoiId"":""B035301FVE"",""name"":""南江大峡谷景区"",""type"":""风景名胜;风景名胜;国家级景点"",""typecode"":""110202"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""开阳县"",""adcode"":""520121"",""address"":""南江街道龙广村"",""telephone"":""0851-87524089"",""longitude"":106.995755,""latitude"":26.947475}"
青云路步行街,[],南明区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/af8edf2cec7d.json,13,1,B0I61M4WZ5,青云路步行街,购物服务;特色商业街;步行街,061001,贵州省,贵阳市,南明区,520102,青云路45号,13822602568,106.716624,26.564651,"{""amapPoiId"":""B0I61M4WZ5"",""name"":""青云路步行街"",""type"":""购物服务;特色商业街;步行街"",""typecode"":""061001"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""青云路45号"",""telephone"":""13822602568"",""longitude"":106.716624,""latitude"":26.564651}"
黔灵湖,[],云岩区,Area,ambiguous,同区有2个精确名称候选,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/d00060af2df1.json,17,2,,,,,,,,,,[],,,{}
